ARTEMIS_APPLICATION_ID,ARTEMIS_CATEGORY_ID,ARTEMIS_SUB_CATEGORY_ID,ARTEMIS_ID,COINGECKO_ID,ECOSYSTEM_ID,DEFILLAMA_PROTOCOL_ID,VISIBILITY,SYMBOL,ICON,APP_NAME,DESCRIPTION,WEBSITE_URL,GITHUB_URL,X_HANDLE,DISCORD_HANDLE,DEVELOPER_NAME,DEVELOPER_EMAIL,DEVELOPER_X_HANDLE,LAST_UPDATED_BY,LAST_UPDATED_TIMESTAMP
geckoinu,,,,gecko-inu,,,TRUE,gec,https://coin-images.coingecko.com/coins/images/33948/small/token_icon.png?1703537806,Gecko Inu,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
solmail,other,social_media,,solmail,,,TRUE,mail,https://coin-images.coingecko.com/coins/images/36467/small/IMG_8604.jpeg?1711517635,SolMail,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
helix,defi,perpetuals,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1744124502/application-icons/ZPpcNEAd_400x400_zxl3ul.jpg,Helix,"Helix is a decentralized orderbook exchange built on the Injective blockchain, offering advanced trading features like spot, perpetual futures, and zero gas fees. It enables traders to access deep liquidity and fast execution while maintaining full self-custody of their assets.",https://helixapp.com/,,https://x.com/HelixApp_,discord.gg/helixapp,,,,terminal@artemisanalytics.xyz,2025-04-07 11:31:28.563
hookedprotocal,other,social,,,,,TRUE,,,Hookedprotocal,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
usd_star,stablecoin,,usd_star,,,,TRUE,,,USD*,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
cryptocom,cefi,cex,,crypto-com-chain,,,TRUE,cro,https://coin-images.coingecko.com/coins/images/7310/small/cro_token_logo.png?1696507599,Crypto.com,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
coolcats,nft_app,collectible,,,,,TRUE,,,Coolcats,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
eywa,bridge,cross_chain_bridge,,,,,TRUE,,,EYWA,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
sunpump,other,memecoin,,,,,TRUE,,,Sun Pump,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
delegatecash,infrastructure,token_locker,,,,,TRUE,,,Delegatecash,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
