RAW_EXTERNAL_CATEGORY,RAW_EXTERNAL_SUB_CATEGORY,ARTEMIS_CATEGORY_ID,ARTEMIS_SUB_CATEGORY_ID
bridge,vault,bridge,
bridge,nf_token_contract,bridge,
bridge,contract_deployer,bridge,
bridge,pool,bridge,
bridge,staking_contract,bridge,
bridge,dao,bridge,
bridge,chadmin,bridge,
bridge,rewards,bridge,
bridge,token_contract,bridge,
bridge,swap_router,bridge,
bridge,general_contract,bridge,
bridge,treasury,bridge,
bridge,fee_wallet,bridge,
bridge,router,bridge,
bridge,token_distribution,bridge,
bridge,bridge,bridge,
bridge,governance,bridge,
bridge,oracle,bridge,
bridge,,bridge,
bridge,multisig,bridge,
cefi,validator,cefi,
cefi,distributor_cex,cefi,
cefi,general_contract,cefi,
cefi,swap_contract,cefi,
cefi,vault,cefi,
cefi,cex,cefi,cex
cefi,reserve,cefi,
cefi,multisig,cefi,
cefi,contract_deployer,cefi,
cefi,pool,cefi,
cefi,staking_contract,cefi,
cefi,,cefi,
cefi,chadmin,cefi,
cefi,aggregator_contract,cefi,
cefi,deposit_wallet,cefi,
cefi,cold_wallet,cefi,
cefi,treasury,cefi,
cefi,token_contract,cefi,
cefi,hot_wallet,cefi,
cefi,fee_wallet,cefi,
defi,rewards,,
defi,fee_wallet,,
defi,pool,,
defi,lending,,
defi,nf_token_contract,,
defi,escrow,,
defi,contract_deployer,,
defi,token_sale,,
defi,aggregator_contract,,
defi,cold_wallet,,
defi,launchpad,,
defi,dex,,
defi,multisig,,
defi,perp_trading,,
defi,mint_contract,,
defi,foundation,,
defi,dao,,
defi,toxic,,
defi,lsd,,
defi,donation_address,,
defi,airdrop_contract,,
defi,token_distribution,,
defi,staking_contract,,
defi,validator,,
defi,bridge,,
defi,oracle,,
defi,hot_wallet,,
defi,swap_router,,
defi,strategy,,
defi,reserve,,
defi,router,,
defi,swap_contract,,
defi,,,
defi,governance,,
defi,general_contract,,
defi,chadmin,,
defi,vault,,
defi,token_contract,,
defi,treasury,,
defi,voting,,
erc_1155,,,
gaming,governance,gaming,
gaming,pool,gaming,
gaming,mint_contract,gaming,
gaming,marketplace,gaming,
gaming,rewards,gaming,
gaming,gambling,gaming,
gaming,airdrop_contract,gaming,
gaming,oracle,gaming,
gaming,router,gaming,
gaming,,gaming,
gaming,token_contract,gaming,
gaming,swap_contract,gaming,
gaming,token_distribution,gaming,
gaming,vault,gaming,
gaming,bridge,gaming,
gaming,contract_deployer,gaming,
gaming,multisig,gaming,
gaming,nf_token_contract,gaming,
gaming,dao,gaming,
gaming,general_contract,gaming,
gaming,chadmin,gaming,
gaming,staking_contract,gaming,
gaming,treasury,gaming,
nft,swap_router,nft_app,
nft,rewards,nft_app,
nft,,nft_app,
nft,marketplace,nft_app,nft_marketplace
nft,nf_token_contract,nft_app,
nft,dao,nft_app,
nft,vault,nft_app,
nft,collectible,nft_app,
nft,fee_wallet,nft_app,
nft,airdrop_contract,nft_app,
nft,chadmin,nft_app,
nft,bridge,nft_app,
nft,pool,nft_app,
nft,general_contract,nft_app,
nft,treasury,nft_app,
nft,oracle,nft_app,
nft,token_distribution,nft_app,
nft,contract_deployer,nft_app,
nft,staking_contract,nft_app,
nft,aggregator_contract,nft_app,
nft,multisig,nft_app,
nft,token_contract,nft_app,
nft_apps,utility,nft_app,
nft_apps,nft_marketplace,nft_app,nft_marketplace
nft_apps,ai,nft_app,
nft_apps,,nft_app,
social,,other,social
stablecoin,,stablecoin,
token,token_address,,
token,oracle,,
token,,,
token,airdrop_contract,,
token,staking_contract,,
token,dao,,
token,pool,,
token,treasury,,
token,rewards,,
token,reserve,,
token,hot_wallet,,
token,contract_deployer,,
token,nf_token_contract,,
token,multisig,,
token,token_contract,,
token,bridge,,
token,vault,,
token,donation_address,,
token,general_contract,,
utility,launchpad,,
utility,sdk,,
utility,oracle,,
utility,wallet,,
utility,,,
utility,ordinal,,
,vault,,
,airdrop_contract,,
,dao,,
,donation_address,,
,mining_pool,,
,cold_wallet,,
,foundation,,
,toxic,,
,fiat_onramp,,
,contract_deployer,,
,treasury,,
,token_address,,
,governance,,
,blob_submitter,,
,validator,,
,chadmin,,
,swap_contract,,
,staking_contract,,
,general_contract,,
,aggregator_contract,,
,multisig,,
,rewards,,
,marketplace,,
,router,,
,pool,,
,token_distribution,,
,oracle,,
,swap_router,,
,token_contract,,
,reserve,,
,mint_burn,,
,fee_wallet,,
,token_sale,,
,bridge,,
