exchange,country_code,country_name,is_verified
binance,Global,Global,FALSE
coinbase,Global,Global,FALSE
okx,Global,Global,FALSE
bybit,Global,Global,FALSE
kucoin,Global,Global,FALSE
gate.io,Global,Global,FALSE
mexc,Global,Global,FALSE
bitget,Global,Global,FALSE
cryptocom,Global,Global,FALSE
bittrex,Global,Global,FALSE
huobi,Global,Global,FALSE
kraken,Global,Global,FALSE
ftx,Global,Global,FALSE
fixedfloat,Global,Global,FALSE
hitbtc,Global,Global,FALSE
coinlist,Global,Global,FALSE
whitebit,Global,Global,FALSE
blockchain.com,Global,Global,FALSE
backpack_exchange,Global,Global,FALSE
cryptomus,Global,Global,FALSE
upbit,KR,South Korea,FALSE
gemini,Global,Global,FALSE
poloniex,Global,Global,FALSE
bitmart,Global,Global,FALSE
blockfi,Global,Global,FALSE
lbank,Global,Global,FALSE
luno,Global,Global,FALSE
simpleswap,Global,Global,FALSE
coinex,Global,Global,FALSE
bitmax,Global,Global,FALSE
phemex,Global,Global,FALSE
coinexchange.io,Global,Global,FALSE
bitrue,Global,Global,FALSE
bitso,MX,Mexico,FALSE
mexc.com,Global,Global,FALSE
bitstamp,Global,Global,FALSE
changelly,Global,Global,FALSE
bibox,Global,Global,FALSE
yobit,Global,Global,FALSE
paribu,TR,Turkey,FALSE
maicoin,TW,Taiwan,FALSE
remitano,Global,Global,FALSE
bilaxy,Global,Global,FALSE
cryptonator,Global,Global,FALSE
bitflyer,JP,Japan,FALSE
bitfinex,Global,Global,FALSE
bitkub,TH,Thailand,FALSE
coindcx,IN,India,FALSE
liqui.io,Global,Global,FALSE
voyager,Global,Global,FALSE
coinone,KR,South Korea,FALSE
indodax,ID,Indonesia,FALSE
coinsbit,Global,Global,FALSE
exmo,Global,Global,FALSE
huobi_global,Global,Global,FALSE
coinstore,Global,Global,FALSE
cex.io,Global,Global,FALSE
liquid,Global,Global,FALSE
zb.com,Global,Global,FALSE
coinw,Global,Global,FALSE
mercatox,Global,Global,FALSE
coss.io,Global,Global,FALSE
coincheck,JP,Japan,FALSE
cobinhood,Global,Global,FALSE
coinbene,Global,Global,FALSE
yunbi,CN,China,FALSE
bigone,Global,Global,FALSE
bity.com,Global,Global,FALSE
cashierest,KR,South Korea,FALSE
livecoin.net,Global,Global,FALSE
blocktrades_exchange,Global,Global,FALSE
biki,Global,Global,FALSE
crex24,Global,Global,FALSE
kuna.io,UA,Ukraine,FALSE
bithumb,KR,South Korea,FALSE
bingx,Global,Global,FALSE
houbi,Global,Global,FALSE
peatio,Global,Global,FALSE
latoken,Global,Global,FALSE
bitpro,Global,Global,FALSE
tidex,Global,Global,FALSE
bitbank,JP,Japan,FALSE
coinhako,SG,Singapore,FALSE
korbit,KR,South Korea,FALSE
youhodler,Global,Global,FALSE
dex_trade,Global,Global,FALSE
bitzlato,Global,Global,FALSE
bitun.io,Global,Global,FALSE
maskex,Global,Global,FALSE
btcturk,TR,Turkey,FALSE
bitmex,Global,Global,FALSE
abcc,Global,Global,FALSE
btse,Global,Global,FALSE
uphold.com,Global,Global,FALSE
catex,Global,Global,FALSE
woo_network,Global,Global,FALSE
firi,NO,Norway,FALSE
coinmetro,Global,Global,FALSE
indoex_ltd,Global,Global,FALSE
otcbtc,Global,Global,FALSE
kickex,Global,Global,FALSE
anycoin_direct,NL,Netherlands,FALSE
coinerr,Global,Global,FALSE
flata.exchange,Global,Global,FALSE
coindelta,IN,India,FALSE
eidoo,Global,Global,FALSE
robinhood,US,United States,FALSE
uex,Global,Global,FALSE
trade.io,Global,Global,FALSE
bitblinx,Global,Global,FALSE
lcx,Global,Global,FALSE
c_patex,Global,Global,FALSE
bit_z,Global,Global,FALSE
bitbase,Global,Global,FALSE
idax.global,Global,Global,FALSE
bit2c,IL,Israel,FALSE
omgfin_exchange,Global,Global,FALSE
jpmarket.cc,JP,Japan,FALSE
eterbase,Global,Global,FALSE
ataix,Global,Global,FALSE
hoo.com,Global,Global,FALSE
nbx,NO,Norway,FALSE
azbit,Global,Global,FALSE
southxchange,Global,Global,FALSE
tagz,Global,Global,FALSE
bitexlive,Global,Global,FALSE
nexo,Global,Global,FALSE
bitci,TR,Turkey,FALSE
artis_turba,Global,Global,FALSE
switchain,Global,Global,FALSE
vinex,Global,Global,FALSE
sparrow,Global,Global,FALSE
nexbit,Global,Global,FALSE
bidesk,Global,Global,FALSE
bitstorage,Global,Global,FALSE
minedtrade.com,Global,Global,FALSE
arzpaya.com,Global,Global,FALSE
ggbtc.com,Global,Global,FALSE
quantaex,Global,Global,FALSE
wex_exchange,Global,Global,FALSE
panda_exchange,Global,Global,FALSE
c2cx,Global,Global,FALSE
faa.st,Global,Global,FALSE
aprobit,KR,South Korea,FALSE
kryptono,Global,Global,FALSE
tokocrypto,ID,Indonesia,FALSE
fcoin,Global,Global,FALSE
bitbee,Global,Global,FALSE
btc_alpha_exchange,Global,Global,FALSE
beaxy,Global,Global,FALSE
coinegg,Global,Global,FALSE
flybit,KR,South Korea,FALSE
bololex.com,Global,Global,FALSE
dmex,Global,Global,FALSE
bitz,Global,Global,FALSE
bitvenus,Global,Global,FALSE
topbtc,Global,Global,FALSE
alcumex_exchange,Global,Global,FALSE
bw,Global,Global,FALSE
counter_network,Global,Global,FALSE
bitebtc,Global,Global,FALSE
coinsquare,CA,Canada,FALSE
eigen_fx,Global,Global,FALSE
streamity,Global,Global,FALSE
oobit,Global,Global,FALSE
ethfinex,Global,Global,FALSE
cambochanger,Global,Global,FALSE
ascendex,Global,Global,FALSE
folgory_exchange,Global,Global,FALSE
digifinex,Global,Global,FALSE
coinswitch,Global,Global,FALSE
innovaminex:_cold_wallet,Global,Global,FALSE
juno,Global,Global,FALSE
quadrigacx,CA,Canada,FALSE
bkex_global,Global,Global,FALSE
