ticker,most_recent_shares_outstanding,most_recent_cash,most_recent_net_debt,revenue_2023,revenue_2024,revenue_2025,revenue_2026,gross_margin_2024,operating_margin_2024,ebitda_margin_2024,gross_profit_2024,operating_income_2024,ebitda_2024
BAC,7531876103,267679000000,286192000000,95787000000,96066000000,108096800000,113610700000,,0.3,,96066000000,29254000000,
C,1867733680,21304000000,264184000000,70700000000,71363000000,83705000000,86263800000,,0.25,,71363000000,17525000000,
COF,383137556,48573000000,41175000000,26361000000,27396000000,52702300000,62595100000,,0.22,,27396000000,5987000000,
GS,293049564,167408000000,269653000000,45226000000,52164000000,55260400000,57680900000,,0.36,,43449000000,18625000000,
JPM,2779094488,397003000000,431892000000,145670000000,166775000000,176168500000,179957700000,,0.45,,166775000000,75755000000,
TD,1252183080,3981000000,156998000000,39528700000,36873900000,41397800000,41957200000,,0.33,,36873900000,8309200000,
WFC,3254182446,301736000000,161861000000,77198000000,77962000000,83314500000,87208400000,,0.31,,77962000000,23897000000,
AFRM,322599959,1359900000,7322600000,1914500000,2800200000,3512400000,4342400000,0.445,-0.13,-0.04,1244800000,-366400000,-103900000
BILL,103027139,2173100000,1679800000,1192000000,1387700000,1537600000,1777400000,0.851,-0.06,0.01,1180300000,-76800000,7900000
FI,554433824,1177000000,25800000000,19093000000,20456000000,20819800000,22589000000,0.608,0.29,0.44,12443000000,5879000000,8974000000
MA,908047623,7894000000,18802000000,25098000000,28167000000,31925300000,35699000000,1,0.58,0.62,28167000000,16452000000,17349000000
MQ,468269055.8,988400000,0,676200000,507000000,581400000,707800000,0.694,-0.05,-0.01,351800000,-24500000,-7000000
NU,4824406511,11033000000,929600000,3706800000,5513200000,14773500000,18404400000,,0.51,,5513200000,2795200000,2795200000
PYPL,972532829,11211000000,11417000000,29771000000,31797000000,32663500000,34636700000,0.405,0.18,0.19,12890000000,5632000000,6166000000
SOFI,1105363096,2094300000,3046700000,2067800000,2643100000,3271000000,3897900000,0.825,0.09,,2181500000,234000000,234000000
TOST,577901000,1489000000,0,3865000000,4960000000,6022500000,7236200000,0.241,0.01,0.02,1195000000,67000000,111000000
V,1872162052,13751000000,16814000000,33351000000,36802000000,40548200000,44813200000,0.978,0.67,0.69,35998000000,24506000000,25575000000
COIN,254704964,8051200000,4237100000,2926500000,6293200000,7459200000,8101600000,0.857,0.32,0.34,5395500000,2036400000,2163900000
HOOD,882468961,12986000000,0,1865000000,2951000000,3614500000,4193400000,0.906,0.36,,2675000000,1056000000,1056000000
