day,hyperliquid_volume
2024-09-19,3260099
2024-09-20,4801770
2024-09-21,4983173
2024-09-22,4441106
2024-09-23,9787031
2024-09-24,4003448
2024-09-25,4050062
2024-09-26,2720909
2024-09-27,3014452
2024-09-28,2447124
2024-09-29,1971820
2024-09-30,2992524
2024-10-01,4385358
2024-10-02,2766600
2024-10-03,1033881
2024-10-04,2839854
2024-10-05,729557
2024-10-06,716965
2024-10-07,1688548
2024-10-08,1807968
2024-10-09,1152790
2024-10-10,1076444
2024-10-11,784798
2024-10-12,505798
2024-10-13,688605
2024-10-14,4557275
2024-10-15,2239387
2024-10-16,1422618
2024-10-17,1202840
2024-10-18,1118816
2024-10-19,1089138
2024-10-20,1521785
2024-10-21,1649536
2024-10-22,1733268
2024-10-23,2008139
2024-10-24,4982618
2024-10-25,6977162
2024-10-26,4934407
2024-10-27,3344874
2024-10-28,14706402
2024-10-29,7873216
2024-10-30,6536359
2024-10-31,5354091
2024-11-01,4298140
2024-11-02,4870484
2024-11-03,2907953
2024-11-04,5175448
2024-11-05,1917874
2024-11-06,8102440
2024-11-07,6039848
2024-11-08,6984501
2024-11-09,6997081
2024-11-10,6664630
2024-11-11,6928825
2024-11-12,6714088
2024-11-13,6228064
2024-11-14,10786342
2024-11-15,7253770
2024-11-16,11390237
2024-11-17,5605038
2024-11-18,8046777
2024-11-19,3811505
2024-11-20,5168491
2024-11-21,2853163
2024-11-22,2036353
2024-11-23,3106917
2024-11-24,2473310
2024-11-25,5628946
2024-11-26,7041832
2024-11-27,4131241
2024-11-28,19036485
2024-11-29,951196324
2024-11-30,460835741
2024-12-01,382137710
2024-12-02,320571512
2024-12-03,302890343
2024-12-04,318696984
2024-12-05,323114172
2024-12-06,218646771
2024-12-07,182104753
2024-12-08,136064768
2024-12-09,270676721
2024-12-10,208129108
2024-12-11,211797447
2024-12-12,324908474
2024-12-13,334237923
2024-12-14,546075604
2024-12-15,517821521
2024-12-16,552491542
2024-12-17,533018011
2024-12-18,472394527
2024-12-19,564194362
2024-12-20,703781781
2024-12-21,527191283
2024-12-22,471634786
2024-12-23,375034673
2024-12-24,319403848
2024-12-25,310480616
2024-12-26,214091088
2024-12-27,216391282
2024-12-28,212391739
2024-12-29,342862746
2024-12-30,267028183
2024-12-31,225503235
2025-01-01,256438336
2025-01-02,267239456
2025-01-03,176550030
2025-01-04,119410641
2025-01-05,174388254
2025-01-06,194364069
2025-01-07,298520602
2025-01-08,325463853
2025-01-09,194078337
2025-01-10,104484914
2025-01-11,104729289
2025-01-12,230154418
2025-01-13,195123318
2025-01-14,186174573
2025-01-15,125668891
2025-01-16,148144621
2025-01-17,342126938
2025-01-18,452915269
2025-01-19,234451715
2025-01-20,255573062
2025-01-21,217426990
2025-01-22,268190024
2025-01-23,178140305
2025-01-24,93192677
2025-01-25,138875526
2025-01-26,229716868
2025-01-27,185620600
2025-01-28,170638730
2025-01-29,283645800
2025-01-30,212136745
2025-01-31,263781612
2025-02-01,305083845
2025-02-02,443687078
2025-02-03,263016289
2025-02-04,208560749
2025-02-05,168626713
2025-02-06,178176120
2025-02-07,86858735
2025-02-08,75118825
2025-02-09,91079022
2025-02-10,107918816
2025-02-11,142810624
2025-02-12,122695803
2025-02-13,199613305
2025-02-14,103410352
2025-02-15,78021652
2025-02-16,120737014
2025-02-17,360271474
2025-02-18,146705782
2025-02-19,136622361
2025-02-20,206747279
2025-02-21,71766053
2025-02-22,87664629
2025-02-23,313527932
2025-02-24,403523120
2025-02-25,252882738
2025-02-26,163029559
2025-02-27,214669060
2025-02-28,87391052
2025-03-01,230865213
2025-03-02,260215664
2025-03-03,277747349
2025-03-04,143679985
2025-03-05,171189803
2025-03-06,199378699
2025-03-07,149081874
2025-03-08,67592094
2025-03-09,118439528
2025-03-10,169103609
2025-03-11,165879349
2025-03-12,179610161
2025-03-13,144019081
2025-03-14,129815493
2025-03-15,57862220
2025-03-16,61473426
2025-03-17,62237612
2025-03-18,57535112
2025-03-19,135305314
2025-03-20,84104047
2025-03-21,96389184
2025-03-22,50878685
2025-03-23,48432865
2025-03-24,130689060
2025-03-25,76294797
2025-03-26,388622924
2025-03-27,87102845
2025-03-28,108552416
2025-03-29,87727670
2025-03-30,50858942
2025-03-31,90964477
2025-04-01,67302035
2025-04-02,148833454
2025-04-03,119560562
2025-04-04,129690210
2025-04-05,42672433
2025-04-06,148050393
2025-04-07,254918742
2025-04-08,163870707
2025-04-09,256513559
2025-04-10,165359677
2025-04-11,187070232
2025-04-12,121367900
2025-04-13,134246965
2025-04-14,126974634
2025-04-15,120978471
2025-04-16,155624952
