chain,coingecko_id
ethereum,ethereum
optimism,ethereum
polygon,matic-network
arbitrum,ethereum
base,ethereum
zksync,ethereum
linea,ethereum
aurora,ethereum
fantom,fantom
metis,metis-token
moonbeam,moonbeam
klaytn,klay-token
avalanche,avalanche-2
moonriver,moonriver
canto,canto
harmony,harmony
bsc,binancecoin
cronos,crypto-com-chain
blast,ethereum
scroll,ethereum
mode,ethereum
solana,solana
sui,sui
near,near
injective,injective-protocol
stellar,stellar
ton,the-open-network
tron,tron
celo,celo
mantle,mantle
sei,sei
