chain,on_chain_symbol,artemis_symbol,contract_address,num_decimals,coingecko_id,type
arbitrum,USDC.e,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6,usd-coin-ethereum-bridged,bridged
arbitrum,USDT0,USDT,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,6,tether,bridged
avalanche,DAI.e,DAI,0xd586E7F844cEa2F87f50152665BCbc2C279D8d70,18,dai,bridged
avalanche,USDC.e,USDC,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6,usd-coin-avalanche-bridged-usdc-e,bridged
avalanche,USDT.e,USDT,0xc7198437980c041c805A1EDcbA50c1Ce5db95118,6,tether,bridged
base,DAI,DAI,0x50c5725949A6F0c72E6C4a641F24049A917DB0Cb,18,dai,bridged
base,USDC.e,USDC,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,6,bridged-usd-coin-base,bridged
bsc,BUSD-T,USDT,0x55d398326f99059fF775485246999027B3197955,18,tether,bridged
bsc,USDC.e,USDC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,18,usd-coin,bridged
bsc,DAI,DAI,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,18,dai,bridged
kaia,USDC.e,USDC,0x608792deb376cce1c9fa4d0e6b7b44f507cffa6a,6,usd-coin,bridged
kaia,USDT.e,USDT,0x5c13e303a62fc5dedf5b52d66873f2e59fedadc2,6,tether,bridged
kaia,USDT.e,USDT,0x9025095263d1e548dc890a7589a4c78038ac40ab,6,tether,bridged
mantle,USDC.e,USDC,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,6,usd-coin,bridged
mantle,USDT.e,USDT,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,6,tether,bridged
optimism,DAI,DAI,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,dai,18,bridged
optimism,USDC.e,USDC,0x7f5c764cbc14f9669b88837ca1490cca17c31607,6,bridged-usd-coin-optimism,bridged
optimism,USDT.e,USDT,0x94b008aA00579c1307B0EF2c499aD98a8ce58e58,6,tether,bridged
polygon,USDC.e,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6,usd-coin,bridged
polygon,DAI,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,18,dai,bridged
polygon,USDT.e,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,6,tether,bridged
sonic,USDT.e,USDT,0x6047828dc181963ba44974801FF68e538dA5eaF9,6,tether,bridged
