id,chain
abstract,abstract
arbitrum,arbitrum
aurora,aurora
avalanche,avalanche
base,base
bsc,bsc
codex,codex
coredao,coredao
degen,degen
ebi,ebi
ethereum,ethereum
fantom,fantom
flare,flare
fuse,fuse
gravity,gravity
hemi,hemi
ink,ink
iota,iota
islander,islander
kava,kava
klaytn,klaytn
lightlink,lightlink
mantle,mantle
metis,metis
optimism,optimism
peaq,peaq
plume,plume
polygon,polygon
rarible,rarible
rootstock,rootstock
scroll,scroll
sei,sei
superposition,superposition
taiko,taiko
xchain,xchain
zkconsensys,linea
