date,end_user_grant,foundation,node_running_grant,participation_rewards,public_sale,team_and_investors
2019-06-01,1425378.58055,500000000,35624715.00228,9977650.06386,17104542.96661,2000000000
2019-07-01,5667305.23627,500000000,141643866.84907,39671136.6539,68007662.83525,2000000000
2019-08-01,9909231.89199,500000000,247663018.69585,69364623.24393,118910782.70389,2000000000
2019-09-01,14014322.20398,500000000,350262197.90242,98100255.42784,168171866.44773,2000000000
2019-10-01,18256248.8597,500000000,456281349.7492,127793742.01788,219074986.31637,2000000000
2019-11-01,22361339.17168,500000000,558880528.95577,156529374.20179,268336070.06021,2000000000
2019-12-01,26603265.8274,500000000,664899680.80255,186222860.79183,319239189.92885,2000000000
2020-01-01,30845192.48312,500000000,770918832.64934,215916347.38186,370142309.79748,2000000000
2020-02-01,34813446.45138,500000000,870098039.21568,243694125.15964,417761357.41653,2000000000
2020-03-01,39055373.1071,500000000,976117191.06247,273387611.74968,468664477.28516,2000000000
2020-04-01,43160463.41908,500000000,1078716370.26903,302123243.93359,517925561.02901,2000000000
2020-05-01,47402390.0748,500000000,1184735522.11582,331816730.52362,568828680.89764,2000000000
2020-06-01,51507480.38679,500000000,1287334701.32239,360552362.70753,618089764.64148,2000000000
2020-07-01,55749407.04251,500000000,1393353853.16918,390245849.29757,668992884.51012,2000000000
2020-08-01,59991333.69823,500000000,1499373005.01597,419939335.88761,719896004.37876,2000000000
2020-09-01,64096424.01022,500000000,1601972184.22254,448674968.07152,769157088.1226,2000000000
2020-10-01,68338350.66594,500000000,1707991336.06932,478368454.66155,820060207.99124,2000000000
2020-11-01,72443440.97792,500000000,1810590515.27589,507104086.84546,869321291.73508,2000000000
2020-12-01,76685367.63364,500000000,1916609667.12268,536797573.4355,920224411.60371,2000000000
2021-01-01,80927294.28936,500000000,2022628818.96947,566491060.02554,971127531.47235,2000000000
2021-02-01,84758711.91388,500000000,2118388052.8956,593310983.39719,1017104542.9666,2000000000
2021-03-01,89000638.5696,500000000,2224407204.74238,623004469.98723,1068007662.83524,2000000000
2021-04-01,93105728.88159,500000000,2327006383.94895,651740102.17114,1117268746.57908,2000000000
2021-05-01,97347655.53731,500000000,2433025535.79573,681433588.76118,1168171866.44772,2000000000
2021-06-01,101452745.8493,500000000,2500000000.00001,710169220.94509,1217432950.19156,2000000000
2021-07-01,105694672.50502,500000000,2500000000.00001,739862707.53513,1268336070.06019,2000000000
2021-08-01,109936599.16074,500000000,2500000000.00001,769556194.12516,1319239189.92883,2000000000
2021-09-01,114041689.47272,500000000,2500000000.00001,798291826.30907,1368500273.67267,2000000000
2021-10-01,118283616.12844,500000000,2500000000.00001,827985312.89911,1419403393.54131,2000000000
2021-11-01,122388706.44043,500000000,2500000000.00001,856720945.08302,1468664477.28515,2000000000
2021-12-01,126630633.09615,500000000,2500000000.00001,886414431.67306,1519567597.15379,2000000000
2022-01-01,130872559.75187,500000000,2500000000.00001,916107918.2631,1570470717.02242,2000000000
2022-02-01,134703977.37639,500000000,2500000000.00001,942927841.63475,1616447728.51668,2000000000
2022-03-01,138945904.03211,500000000,2500000000.00001,972621328.22479,1667350848.38531,2000000000
2022-04-01,143050994.3441,500000000,2500000000.00001,1001356960.4087,1716611932.12915,2000000000
2022-05-01,147292920.99982,500000000,2500000000.00001,1031050446.99874,1767515051.99779,2000000000
2022-06-01,151398011.3118,500000000,2500000000.00001,1059786079.18265,1816776135.74163,2000000000
2022-07-01,155639937.96752,500000000,2500000000.00001,1089479565.77269,1867679255.61027,2000000000
2022-08-01,159881864.62324,500000000,2500000000.00001,1119173052.36273,1918582375.4789,2000000000
2022-09-01,163986954.93523,500000000,2500000000.00001,1147908684.54664,1967843459.22275,2000000000
2022-10-01,168228881.59095,500000000,2500000000.00001,1177602171.13668,2018746579.09138,2000000000
2022-11-01,172333971.90294,500000000,2500000000.00001,1206337803.32059,2068007662.83522,2000000000
2022-12-01,176575898.55866,500000000,2500000000.00001,1236031289.91063,2118910782.70386,2000000000
2023-01-01,180817825.21438,500000000,2500000000.00001,1265724776.50067,2169813902.5725,2000000000
2023-02-01,184649242.8389,500000000,2500000000.00001,1292544699.87232,2215790914.06676,2000000000
2023-03-01,188891169.49462,500000000,2500000000.00001,1322238186.46236,2266694033.9354,2000000000
2023-04-01,192996259.8066,500000000,2500000000.00001,1350973818.64627,2315955117.67925,2000000000
2023-05-01,197238186.46232,500000000,2500000000.00001,1380667305.23631,2366858237.54789,2000000000
2023-06-01,201343276.77431,500000000,2500000000.00001,1409402937.42021,2416119321.29174,2000000000
2023-07-01,205585203.43003,500000000,2500000000.00001,1439096424.01025,2467022441.16039,2000000000
2023-08-01,209827130.08575,500000000,2500000000.00001,1468789910.60029,2517925561.02903,2000000000
2023-09-01,213932220.39774,500000000,2500000000.00001,1497525542.7842,2567186644.77288,2000000000
2023-10-01,218174147.05345,500000000,2500000000.00001,1527219029.37424,2618089764.64152,2000000000
2023-11-01,222279237.36544,500000000,2500000000.00001,1555954661.55815,2667350848.38537,2000000000
2023-12-01,226521164.02116,500000000,2500000000.00001,1585648148.14819,2718253968.25402,2000000000
2024-01-01,230763090.67688,500000000,2500000000.00001,1615341634.73823,2769157088.12266,2000000000
