date,premine_unlocks_native
2021-11-01,"7,900,000,000.00"
2021-12-01,"1,433,333,333.33"
2022-01-01,"1,433,333,333.33"
2022-02-01,"1,433,333,333.33"
2022-03-01,"1,433,333,333.33"
2022-04-01,"1,433,333,333.33"
2022-05-01,"1,433,333,333.33"
2022-06-01,"1,825,000,000.00"
2022-07-01,"1,825,000,000.00"
2022-08-01,"1,825,000,000.00"
2022-09-01,"1,825,000,000.00"
2022-10-01,"1,825,000,000.00"
2022-11-01,"1,825,000,000.00"
2022-12-01,"2,658,333,333.33"
2023-01-01,"2,658,333,333.33"
2023-02-01,"2,658,333,333.33"
2023-03-01,"2,658,333,333.33"
2023-04-01,"2,658,333,333.33"
2023-05-01,"2,658,333,333.33"
2023-06-01,"2,458,333,333.33"
2023-07-01,"2,458,333,333.33"
2023-08-01,"2,458,333,333.33"
2023-09-01,"2,458,333,333.33"
2023-10-01,"2,458,333,333.33"
2023-11-01,"2,458,333,333.33"
2023-12-01,"1,625,000,000.00"
2024-01-01,"1,625,000,000.00"
2024-02-01,"1,625,000,000.00"
2024-03-01,"1,625,000,000.00"
2024-04-01,"1,625,000,000.00"
2024-05-01,"1,625,000,000.00"
2024-06-01,"1,625,000,000.00"
2024-07-01,"1,625,000,000.00"
2024-08-01,"1,625,000,000.00"
2024-09-01,"1,625,000,000.00"
2024-10-01,"1,625,000,000.00"
2024-11-01,"1,625,000,000.00"
2024-12-01,"391,666,666.67"
2025-01-01,"391,666,666.67"
2025-02-01,"391,666,666.67"
2025-03-01,"391,666,666.67"
2025-04-01,"391,666,666.67"
2025-05-01,"391,666,666.67"
2025-06-01,0
2025-07-01,0
2025-08-01,0
2025-09-01,0
2025-10-01,0
2025-11-01,0
2025-12-01,0
2026-01-01,0
2026-02-01,0
2026-03-01,0
2026-04-01,0
2026-05-01,0
