date,emissions_native,premine_unlocks_native,net_supply_change_native,circulating_supply
2024-03-01,"183,413.33",0.00,"183,413.33","183,413.33"
2024-03-02,"183,413.33",0.00,"183,413.33","366,826.67"
2024-03-03,"183,413.33",0.00,"183,413.33","550,240.00"
2024-03-04,"183,413.33",0.00,"183,413.33","733,653.33"
2024-03-05,"183,413.33",0.00,"183,413.33","917,066.67"
2024-03-06,"183,413.33",0.00,"183,413.33","1,100,480.00"
2024-03-07,"183,413.33",0.00,"183,413.33","1,283,893.33"
2024-03-08,"183,413.33",0.00,"183,413.33","1,467,306.67"
2024-03-09,"183,413.33",0.00,"183,413.33","1,650,720.00"
2024-03-10,"183,413.33",0.00,"183,413.33","1,834,133.34"
2024-03-11,"183,413.33",0.00,"183,413.33","2,017,546.67"
2024-03-12,"183,413.33",0.00,"183,413.33","2,200,960.00"
2024-03-13,"183,413.33",0.00,"183,413.33","2,384,373.34"
2024-03-14,"183,413.33",0.00,"183,413.33","2,567,786.67"
2024-03-15,"183,413.33",0.00,"183,413.33","2,751,200.00"
2024-03-16,"183,413.33",0.00,"183,413.33","2,934,613.34"
2024-03-17,"183,413.33",0.00,"183,413.33","3,118,026.67"
2024-03-18,"183,413.33","1,882,852.50","2,066,265.84","5,184,292.51"
2024-03-19,"183,413.33","1,882,852.50","2,066,265.84","7,250,558.34"
2024-03-20,"183,413.33","1,882,852.50","2,066,265.84","9,316,824.18"
2024-03-21,"183,413.33","1,882,852.50","2,066,265.84","11,383,090.01"
2024-03-22,"183,413.33","1,882,852.50","2,066,265.84","13,449,355.85"
2024-03-23,"183,413.33","1,882,852.50","2,066,265.84","15,515,621.68"
2024-03-24,"183,413.33","1,882,852.50","2,066,265.84","17,581,887.52"
2024-03-25,"183,413.33","1,882,852.50","2,066,265.84","19,648,153.35"
2024-03-26,"183,413.33","1,882,852.50","2,066,265.84","21,714,419.19"
2024-03-27,"183,413.33","1,882,852.50","2,066,265.84","23,780,685.02"
2024-03-28,"183,413.33","1,882,852.50","2,066,265.84","25,846,950.86"
2024-03-29,"183,413.33","1,882,852.50","2,066,265.84","27,913,216.69"
2024-03-30,"183,413.33","1,882,852.50","2,066,265.84","29,979,482.53"
2024-03-31,"183,413.33","1,882,852.50","2,066,265.84","32,045,748.36"
2024-04-01,"183,413.33","1,882,852.50","2,066,265.84","34,112,014.20"
2024-04-02,"183,413.33","1,882,852.50","2,066,265.84","36,178,280.03"
2024-04-03,"183,413.33","1,882,852.50","2,066,265.84","38,244,545.87"
2024-04-04,"183,413.33","1,882,852.50","2,066,265.84","40,310,811.71"
2024-04-05,"183,413.33","1,882,852.50","2,066,265.84","42,377,077.54"
2024-04-06,"183,413.33","1,882,852.50","2,066,265.84","44,443,343.38"
2024-04-07,"183,413.33","1,882,852.50","2,066,265.84","46,509,609.21"
2024-04-08,"183,413.33","1,882,852.50","2,066,265.84","48,575,875.05"
2024-04-09,"183,413.33","1,882,852.50","2,066,265.84","50,642,140.88"
2024-04-10,"183,413.33","1,882,852.50","2,066,265.84","52,708,406.72"
2024-04-11,"183,413.33","1,882,852.50","2,066,265.84","54,774,672.55"
2024-04-12,"183,413.33","1,882,852.50","2,066,265.84","56,840,938.39"
2024-04-13,"183,413.33","1,882,852.50","2,066,265.84","58,907,204.22"
2024-04-14,"183,413.33","1,882,852.50","2,066,265.84","60,973,470.06"
2024-04-15,"183,413.33","1,882,852.50","2,066,265.84","63,039,735.89"
2024-04-16,"183,413.33","1,882,852.50","2,066,265.84","65,106,001.73"
2024-04-17,"183,413.33","1,882,852.50","2,066,265.84","67,172,267.56"
2024-04-18,"183,413.33","1,882,852.50","2,066,265.84","69,238,533.40"
2024-04-19,"183,413.33","1,882,852.50","2,066,265.84","71,304,799.24"
2024-04-20,"183,413.33","1,882,852.50","2,066,265.84","73,371,065.07"
2024-04-21,"183,413.33","1,882,852.50","2,066,265.84","75,437,330.91"
2024-04-22,"183,413.33","1,882,852.50","2,066,265.84","77,503,596.74"
2024-04-23,"183,413.33","1,882,852.50","2,066,265.84","79,569,862.58"
