DATE,PUBLIC_DISTRIBUTION_DAILY,FLARE_LABS_DAILY,FLARE_VC_FUND_DAILY,FLARE_FOUNDATION_DAILY,FOUNDING_TEAM_DAILY,REST_TEAM_ADVISORS_DAILY,BACKERS_DAILY,BURNS_DAILY,TOTAL_UNLOCKS_DAILY,FOUNDATION_UNLOCKS_DAILY,CUMULATIVE_FOUNDATION_UNLOCKS,TEAM_UNLOCKS_DAILY,CUMULATIVE_TEAM_UNLOCKS,NET_SUPPLY_CHANGE,CUMULATIVE_INFLATION,CUMULATIVE_UNLOCKS,CUMULATIVE_BURNS
2024-12-13,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34318134580.806341,19656283.064516,20364854250.322545,56374258.774194,0,54682988831.128886,1071386722.258138
2024-12-14,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34356991052.967631,19656283.064516,20384510533.387061,56374258.774194,0,54741501586.354692,1073525218.709751
2024-12-15,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34395847525.128921,19656283.064516,20404166816.451577,56374258.774194,0,54800014341.580498,1075663715.161364
2024-12-16,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34434703997.290211,19656283.064516,20423823099.516093,56374258.774194,0,54858527096.806304,1077802211.612977
2024-12-17,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34473560469.451501,19656283.064516,20443479382.580609,56374258.774194,0,54917039852.032110,1079940708.064590
2024-12-18,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34512416941.612791,19656283.064516,20463135665.645125,56374258.774194,0,54975552607.257916,1082079204.516203
2024-12-19,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34551273413.774081,19656283.064516,20482791948.709641,56374258.774194,0,55034065362.483722,1084217700.967816
2024-12-20,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34590129885.935371,19656283.064516,20502448231.774157,56374258.774194,0,55092578117.709528,1086356197.419429
2024-12-21,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34628986358.096661,19656283.064516,20522104514.838673,56374258.774194,0,55151090872.935334,1088494693.871042
2024-12-22,21807762.483871,9556451.612903,7645161.290323,7492258.064516,5351612.903226,4969354.838710,1690154.032258,2138496.451613,58512755.225806,38856472.161290,34667842830.257951,19656283.064516,20541760797.903189,56374258.774194,0,55209603628.161140,1090633190.322655
