date,emissions_native,premine_unlocks_native,burns_native,net_supply_change_native,circulating_supply
2021-04-20,"38,461,538","669,700,000",0,"708,161,538","708,161,538"
2021-04-21,"1,201,923",0,0,"1,201,923","709,363,461"
2021-04-22,0,0,0,0,"709,363,461"
2021-04-23,0,0,0,0,"709,363,461"
2021-04-24,0,0,0,0,"709,363,461"
2021-04-25,0,0,0,0,"709,363,461"
2021-04-26,0,0,0,0,"709,363,461"
2021-04-27,0,0,0,0,"709,363,461"
2021-04-28,"1,201,923",0,0,"1,201,923","710,565,384"
2021-04-29,0,0,0,0,"710,565,384"
2021-04-30,0,0,0,0,"710,565,384"
2021-05-01,0,0,0,0,"710,565,384"
2021-05-02,0,0,0,0,"710,565,384"
2021-05-03,0,0,0,0,"710,565,384"
2021-05-04,0,0,0,0,"710,565,384"
2021-05-05,"1,201,923",0,0,"1,201,923","711,767,307"
2021-05-06,0,0,0,0,"711,767,307"
2021-05-07,0,0,0,0,"711,767,307"
2021-05-08,0,0,0,0,"711,767,307"
2021-05-09,0,0,0,0,"711,767,307"
2021-05-10,0,0,0,0,"711,767,307"
2021-05-11,0,0,0,0,"711,767,307"
2021-05-12,"1,201,923",0,0,"1,201,923","712,969,230"
2021-05-13,0,0,0,0,"712,969,230"
2021-05-14,0,0,0,0,"712,969,230"
2021-05-15,0,0,0,0,"712,969,230"
2021-05-16,0,0,0,0,"712,969,230"
2021-05-17,0,0,0,0,"712,969,230"
2021-05-18,0,0,0,0,"712,969,230"
2021-05-19,"1,201,923",0,0,"1,201,923","714,171,153"
2021-05-20,0,0,0,0,"714,171,153"
2021-05-21,0,0,0,0,"714,171,153"
2021-05-22,0,0,0,0,"714,171,153"
2021-05-23,0,0,0,0,"714,171,153"
2021-05-24,0,0,0,0,"714,171,153"
2021-05-25,0,0,0,0,"714,171,153"
2021-05-26,"1,201,923",0,0,"1,201,923","715,373,076"
2021-05-27,0,0,0,0,"715,373,076"
2021-05-28,0,0,0,0,"715,373,076"
2021-05-29,0,0,0,0,"715,373,076"
2021-05-30,0,0,0,0,"715,373,076"
2021-05-31,0,0,0,0,"715,373,076"
2021-06-01,0,0,0,0,"715,373,076"
2021-06-02,"1,201,923",0,0,"1,201,923","716,575,000"
2021-06-03,0,0,0,0,"716,575,000"
2021-06-04,0,0,0,0,"716,575,000"
2021-06-05,0,0,0,0,"716,575,000"
2021-06-06,0,0,0,0,"716,575,000"
2021-06-07,0,0,0,0,"716,575,000"
2021-06-08,0,0,0,0,"716,575,000"
2021-06-09,"1,201,923",0,0,"1,201,923","717,776,923"
2021-06-10,0,0,0,0,"717,776,923"
2021-06-11,0,0,0,0,"717,776,923"
2021-06-12,0,0,0,0,"717,776,923"
2021-06-13,0,0,0,0,"717,776,923"
2021-06-14,0,0,0,0,"717,776,923"
2021-06-15,0,0,0,0,"717,776,923"
2021-06-16,"1,201,923",0,0,"1,201,923","718,978,846"
2021-06-17,0,0,0,0,"718,978,846"
2021-06-18,0,0,0,0,"718,978,846"
2021-06-19,0,0,0,0,"718,978,846"
2021-06-20,0,0,0,0,"718,978,846"
2021-06-21,0,0,0,0,"718,978,846"
2021-06-22,0,0,0,0,"718,978,846"
2021-06-23,"1,201,923",0,0,"1,201,923","720,180,769"
2021-06-24,0,0,0,0,"720,180,769"
2021-06-25,0,0,0,0,"720,180,769"
2021-06-26,0,0,0,0,"720,180,769"
2021-06-27,0,0,0,0,"720,180,769"
2021-06-28,0,0,0,0,"720,180,769"
2021-06-29,0,0,0,0,"720,180,769"
2021-06-30,"1,201,923",0,0,"1,201,923","721,382,692"
2021-07-01,0,0,0,0,"721,382,692"
2021-07-02,0,0,0,0,"721,382,692"
2021-07-03,0,0,0,0,"721,382,692"
2021-07-04,0,0,0,0,"721,382,692"
2021-07-05,0,0,0,0,"721,382,692"
2021-07-06,0,0,0,0,"721,382,692"
2021-07-07,"1,201,923",0,0,"1,201,923","722,584,615"
2021-07-08,0,0,0,0,"722,584,615"
2021-07-09,0,0,0,0,"722,584,615"
2021-07-10,0,0,0,0,"722,584,615"
2021-07-11,0,0,0,0,"722,584,615"
2021-07-12,0,0,0,0,"722,584,615"
2021-07-13,0,0,0,0,"722,584,615"
2021-07-14,"1,201,923",0,0,"1,201,923","723,786,538"
2021-07-15,0,0,0,0,"723,786,538"
2021-07-16,0,0,0,0,"723,786,538"
2021-07-17,0,0,0,0,"723,786,538"
2021-07-18,0,0,0,0,"723,786,538"
2021-07-19,0,0,0,0,"723,786,538"
2021-07-20,0,0,0,0,"723,786,538"
2021-07-21,"1,201,923",0,0,"1,201,923","724,988,461"
2021-07-22,0,0,0,0,"724,988,461"
2021-07-23,0,0,0,0,"724,988,461"
2021-07-24,0,0,0,0,"724,988,461"
2021-07-25,0,0,0,0,"724,988,461"
2021-07-26,0,0,0,0,"724,988,461"
2021-07-27,0,0,0,0,"724,988,461"
2021-07-28,"1,201,923",0,0,"1,201,923","726,190,384"
2021-07-29,0,0,0,0,"726,190,384"
2021-07-30,0,0,0,0,"726,190,384"
2021-07-31,0,0,0,0,"726,190,384"
2021-08-01,0,0,0,0,"726,190,384"
2021-08-02,0,0,0,0,"726,190,384"
2021-08-03,0,0,0,0,"726,190,384"
2021-08-04,"1,201,923",0,0,"1,201,923","727,392,307"
2021-08-05,0,0,0,0,"727,392,307"
2021-08-06,0,0,0,0,"727,392,307"
2021-08-07,0,0,0,0,"727,392,307"
2021-08-08,0,0,0,0,"727,392,307"
2021-08-09,0,0,0,0,"727,392,307"
2021-08-10,0,0,0,0,"727,392,307"
2021-08-11,"1,201,923",0,0,"1,201,923","728,594,230"
2021-08-12,0,0,0,0,"728,594,230"
2021-08-13,0,0,0,0,"728,594,230"
2021-08-14,0,0,0,0,"728,594,230"
2021-08-15,0,0,0,0,"728,594,230"
2021-08-16,0,0,0,0,"728,594,230"
2021-08-17,0,0,0,0,"728,594,230"
2021-08-18,"1,201,923",0,0,"1,201,923","729,796,153"
2021-08-19,0,0,0,0,"729,796,153"
2021-08-20,0,0,0,0,"729,796,153"
2021-08-21,0,0,0,0,"729,796,153"
2021-08-22,0,0,0,0,"729,796,153"
2021-08-23,0,0,0,0,"729,796,153"
2021-08-24,0,0,0,0,"729,796,153"
2021-08-25,"1,201,923",0,0,"1,201,923","730,998,076"
2021-08-26,0,0,0,0,"730,998,076"
2021-08-27,0,0,0,0,"730,998,076"
2021-08-28,0,0,0,0,"730,998,076"
2021-08-29,0,0,0,0,"730,998,076"
2021-08-30,0,0,0,0,"730,998,076"
2021-08-31,0,0,0,0,"730,998,076"
2021-09-01,"1,201,923",0,0,"1,201,923","732,200,000"
2021-09-02,0,0,0,0,"732,200,000"
2021-09-03,0,0,0,0,"732,200,000"
2021-09-04,0,0,0,0,"732,200,000"
2021-09-05,0,0,0,0,"732,200,000"
2021-09-06,0,0,0,0,"732,200,000"
2021-09-07,0,0,0,0,"732,200,000"
2021-09-08,"1,201,923",0,0,"1,201,923","733,401,923"
2021-09-09,0,0,0,0,"733,401,923"
2021-09-10,0,0,0,0,"733,401,923"
2021-09-11,0,0,0,0,"733,401,923"
2021-09-12,0,0,0,0,"733,401,923"
2021-09-13,0,0,0,0,"733,401,923"
2021-09-14,0,0,0,0,"733,401,923"
2021-09-15,"1,201,923",0,0,"1,201,923","734,603,846"
2021-09-16,0,0,0,0,"734,603,846"
2021-09-17,0,0,0,0,"734,603,846"
2021-09-18,0,0,0,0,"734,603,846"
2021-09-19,0,0,0,0,"734,603,846"
2021-09-20,0,0,0,0,"734,603,846"
