date,Total_Monthly,Airdrop,Binance_Launchpool,Public_Sale,Private_Round,Strategic,Institution,Ecosystem_Community,Foundation,Airdrop_2,Team,Advisor
2024-01-18,251000000.00,56000000.00,30000000.00,40000000.00,0.00,0.00,0.00,50000000.00,0.00,50000000.00,0.00,25000000.00
2024-02-18,13781250.00,0.00,0.00,6666666.67,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-03-18,13781250.00,0.00,0.00,6666666.67,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-04-18,28781250.00,0.00,0.00,6666666.67,0.00,0.00,0.00,3372916.67,1875000.00,15000000.00,0.00,1866666.67
2024-05-18,13781250.00,0.00,0.00,6666666.67,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-06-18,13781250.00,0.00,0.00,6666666.67,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-07-18,13781250.00,0.00,0.00,6666666.67,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-08-18,7114583.33,0.00,0.00,0.00,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-09-18,7114583.33,0.00,0.00,0.00,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-10-18,7114583.33,0.00,0.00,0.00,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-11-18,7114583.33,0.00,0.00,0.00,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2024-12-18,7114583.33,0.00,0.00,0.00,0.00,0.00,0.00,3372916.67,1875000.00,0.00,0.00,1866666.67
2025-01-18,13811805.56,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,0.00,1866666.67
2025-02-18,13811805.56,0.00,0.00,0.00,3594444.44,1713888.89,1388888.89,3372916.67,1875000.00,0.00,0.00,1866666.67
