date,premine_unlocks_native,circulating_supply_native
2021-05-02,"1,367,989.06","1,367,989.06"
2021-05-03,"1,367,989.06","2,735,978.11"
2021-05-04,"1,367,989.06","4,103,967.17"
2021-05-05,"1,367,989.06","5,471,956.22"
2021-05-06,"1,367,989.06","6,839,945.28"
2021-05-07,"1,367,989.06","8,207,934.34"
2021-05-08,"1,367,989.06","9,575,923.39"
2021-05-09,"1,367,989.06","10,943,912.45"
2021-05-10,"1,367,989.06","12,311,901.50"
2021-05-11,"1,367,989.06","13,679,890.56"
2021-05-12,"1,367,989.06","15,047,879.62"
2021-05-13,"1,367,989.06","16,415,868.67"
2021-05-14,"1,367,989.06","17,783,857.73"
2021-05-15,"1,367,989.06","19,151,846.79"
2021-05-16,"1,367,989.06","20,519,835.84"
2021-05-17,"1,367,989.06","21,887,824.90"
2021-05-18,"1,367,989.06","23,255,813.95"
2021-05-19,"1,367,989.06","24,623,803.01"
2021-05-20,"1,367,989.06","25,991,792.07"
2021-05-21,"1,367,989.06","27,359,781.12"
2021-05-22,"1,367,989.06","28,727,770.18"
2021-05-23,"1,367,989.06","30,095,759.23"
2021-05-24,"1,367,989.06","31,463,748.29"
2021-05-25,"1,367,989.06","32,831,737.35"
2021-05-26,"1,367,989.06","34,199,726.40"
2021-05-27,"1,367,989.06","35,567,715.46"
2021-05-28,"1,367,989.06","36,935,704.51"
2021-05-29,"1,367,989.06","38,303,693.57"
2021-05-30,"1,367,989.06","39,671,682.63"
2021-05-31,"1,367,989.06","41,039,671.68"
2021-06-01,"1,367,989.06","42,407,660.74"
2021-06-02,"1,367,989.06","43,775,649.79"
2021-06-03,"1,367,989.06","45,143,638.85"
2021-06-04,"1,367,989.06","46,511,627.91"
2021-06-05,"1,367,989.06","47,879,616.96"
2021-06-06,"1,367,989.06","49,247,606.02"
2021-06-07,"1,367,989.06","50,615,595.08"
2021-06-08,"1,367,989.06","51,983,584.13"
2021-06-09,"1,367,989.06","53,351,573.19"
2021-06-10,"1,367,989.06","54,719,562.24"
2021-06-11,"1,367,989.06","56,087,551.30"
2021-06-12,"1,367,989.06","57,455,540.36"
2021-06-13,"1,367,989.06","58,823,529.41"
2021-06-14,"1,367,989.06","60,191,518.47"
2021-06-15,"1,367,989.06","61,559,507.52"
2021-06-16,"1,367,989.06","62,927,496.58"
2021-06-17,"1,367,989.06","64,295,485.64"
2021-06-18,"1,367,989.06","65,663,474.69"
2021-06-19,"1,367,989.06","67,031,463.75"
2021-06-20,"1,367,989.06","68,399,452.80"
2021-06-21,"1,367,989.06","69,767,441.86"
2021-06-22,"1,367,989.06","71,135,430.92"
2021-06-23,"1,367,989.06","72,503,419.97"
2021-06-24,"1,367,989.06","73,871,409.03"
2021-06-25,"1,367,989.06","75,239,398.08"
2021-06-26,"1,367,989.06","76,607,387.14"
2021-06-27,"1,367,989.06","77,975,376.20"
2021-06-28,"1,367,989.06","79,343,365.25"
2021-06-29,"1,367,989.06","80,711,354.31"
2021-06-30,"1,367,989.06","82,079,343.37"
2021-07-01,"1,367,989.06","83,447,332.42"
2021-07-02,"1,367,989.06","84,815,321.48"
2021-07-03,"1,367,989.06","86,183,310.53"
2021-07-04,"1,367,989.06","87,551,299.59"
2021-07-05,"1,367,989.06","88,919,288.65"
2021-07-06,"1,367,989.06","90,287,277.70"
2021-07-07,"1,367,989.06","91,655,266.76"
2021-07-08,"1,367,989.06","93,023,255.81"
2021-07-09,"1,367,989.06","94,391,244.87"
2021-07-10,"1,367,989.06","95,759,233.93"
2021-07-11,"1,367,989.06","97,127,222.98"
2021-07-12,"1,367,989.06","98,495,212.04"
2021-07-13,"1,367,989.06","99,863,201.09"
2021-07-14,"1,367,989.06","101,231,190.15"
2021-07-15,"1,367,989.06","102,599,179.21"
2021-07-16,"1,367,989.06","103,967,168.26"
2021-07-17,"1,367,989.06","105,335,157.32"
2021-07-18,"1,367,989.06","106,703,146.37"
2021-07-19,"1,367,989.06","108,071,135.43"
2021-07-20,"1,367,989.06","109,439,124.49"
2021-07-21,"1,367,989.06","110,807,113.54"
2021-07-22,"1,367,989.06","112,175,102.60"
2021-07-23,"1,367,989.06","113,543,091.66"
2021-07-24,"1,367,989.06","114,911,080.71"
2021-07-25,"1,367,989.06","116,279,069.77"
2021-07-26,"1,367,989.06","117,647,058.82"
2021-07-27,"1,367,989.06","119,015,047.88"
2021-07-28,"1,367,989.06","120,383,036.94"
2021-07-29,"1,367,989.06","121,751,025.99"
2021-07-30,"1,367,989.06","123,119,015.05"
2021-07-31,"1,367,989.06","124,487,004.10"
2021-08-01,"1,367,989.06","125,854,993.16"
2021-08-02,"1,367,989.06","127,222,982.22"
2021-08-03,"1,367,989.06","128,590,971.27"
2021-08-04,"1,367,989.06","129,958,960.33"
2021-08-05,"1,367,989.06","131,326,949.38"
2021-08-06,"1,367,989.06","132,694,938.44"
2021-08-07,"1,367,989.06","134,062,927.50"
2021-08-08,"1,367,989.06","135,430,916.55"
2021-08-09,"1,367,989.06","136,798,905.61"
2021-08-10,"1,367,989.06","138,166,894.66"
2021-08-11,"1,367,989.06","139,534,883.72"
2021-08-12,"1,367,989.06","140,902,872.78"
2021-08-13,"1,367,989.06","142,270,861.83"
2021-08-14,"1,367,989.06","143,638,850.89"
2021-08-15,"1,367,989.06","145,006,839.95"
2021-08-16,"1,367,989.06","146,374,829.00"
2021-08-17,"1,367,989.06","147,742,818.06"
2021-08-18,"1,367,989.06","149,110,807.11"
2021-08-19,"1,367,989.06","150,478,796.17"
2021-08-20,"1,367,989.06","151,846,785.23"
2021-08-21,"1,367,989.06","153,214,774.28"
2021-08-22,"1,367,989.06","154,582,763.34"
2021-08-23,"1,367,989.06","155,950,752.39"
2021-08-24,"1,367,989.06","157,318,741.45"
2021-08-25,"1,367,989.06","158,686,730.51"
2021-08-26,"1,367,989.06","160,054,719.56"
2021-08-27,"1,367,989.06","161,422,708.62"
2021-08-28,"1,367,989.06","162,790,697.67"
2021-08-29,"1,367,989.06","164,158,686.73"
2021-08-30,"1,367,989.06","165,526,675.79"
2021-08-31,"1,367,989.06","166,894,664.84"
2021-09-01,"1,367,989.06","168,262,653.90"
2021-09-02,"1,367,989.06","169,630,642.95"
2021-09-03,"1,367,989.06","170,998,632.01"
2021-09-04,"1,367,989.06","172,366,621.07"
2021-09-05,"1,367,989.06","173,734,610.12"
2021-09-06,"1,367,989.06","175,102,599.18"
2021-09-07,"1,367,989.06","176,470,588.24"
2021-09-08,"1,367,989.06","177,838,577.29"
2021-09-09,"1,367,989.06","179,206,566.35"
2021-09-10,"1,367,989.06","180,574,555.40"
2021-09-11,"1,367,989.06","181,942,544.46"
2021-09-12,"1,367,989.06","183,310,533.52"
2021-09-13,"1,367,989.06","184,678,522.57"
2021-09-14,"1,367,989.06","186,046,511.63"
2021-09-15,"1,367,989.06","187,414,500.68"
2021-09-16,"1,367,989.06","188,782,489.74"
2021-09-17,"1,367,989.06","190,150,478.80"
2021-09-18,"1,367,989.06","191,518,467.85"
2021-09-19,"1,367,989.06","192,886,456.91"
2021-09-20,"1,367,989.06","194,254,445.96"
2021-09-21,"1,367,989.06","195,622,435.02"
2021-09-22,"1,367,989.06","196,990,424.08"
2021-09-23,"1,367,989.06","198,358,413.13"
2021-09-24,"1,367,989.06","199,726,402.19"
2021-09-25,"1,367,989.06","201,094,391.24"
2021-09-26,"1,367,989.06","202,462,380.30"
2021-09-27,"1,367,989.06","203,830,369.36"
2021-09-28,"1,367,989.06","205,198,358.41"
2021-09-29,"1,367,989.06","206,566,347.47"
2021-09-30,"1,367,989.06","207,934,336.53"
2021-10-01,"1,367,989.06","209,302,325.58"
2021-10-02,"1,367,989.06","210,670,314.64"
2021-10-03,"1,367,989.06","212,038,303.69"
2021-10-04,"1,367,989.06","213,406,292.75"
2021-10-05,"1,367,989.06","214,774,281.81"
2021-10-06,"1,367,989.06","216,142,270.86"
2021-10-07,"1,367,989.06","217,510,259.92"
2021-10-08,"1,367,989.06","218,878,248.97"
2021-10-09,"1,367,989.06","220,246,238.03"
2021-10-10,"1,367,989.06","221,614,227.09"
2021-10-11,"1,367,989.06","222,982,216.14"
2021-10-12,"1,367,989.06","224,350,205.20"
2021-10-13,"1,367,989.06","225,718,194.25"
2021-10-14,"1,367,989.06","227,086,183.31"
2021-10-15,"1,367,989.06","228,454,172.37"
2021-10-16,"1,367,989.06","229,822,161.42"
2021-10-17,"1,367,989.06","231,190,150.48"
2021-10-18,"1,367,989.06","232,558,139.53"
2021-10-19,"1,367,989.06","233,926,128.59"
