date,transaction_mining,metislab_foundation,founding_team,advisors,community_development,airdrop,liquidity_reserves,strategic_round,community_star,private_round,seed_investors,angel_investors,liquidity_ido,net_supply_change,circulating_supply
2021-05-13,39750,40000,0,7500,,,,,30000,70000,60000,5000,30000,282250,282250
2021-06-13,39750,,0,,50000,33333,33333,12500,22500,,,,,191417,473667
2021-07-13,39750,,0,,50000,33333,33333,12500,22500,,,,,191417,665083
2021-08-13,39750,45000,0,17813,50000,33333,33333,12500,22500,157500,135000,11875,,558604,1223688
2021-09-13,39750,,0,,50000,33333,33333,12500,22500,,,,,191417,1415104
2021-10-13,39750,,0,,50000,33333,33333,12500,22500,,,,,191417,1606521
2021-11-13,39750,45000,87500,17813,50000,33333,33333,12500,22500,157500,135000,11875,,646104,2252625
2021-12-13,39750,,,,50000,33333,33333,12500,22500,,,,,191417,2444042
2022-01-13,39750,,,,50000,33333,33333,12500,22500,,,,,191417,2635458
2022-02-13,39750,45000,87500,17813,50000,33333,33333,12500,22500,157500,135000,11875,,646104,3281563
2022-03-13,39750,,,,50000,33333,33333,12500,22500,,,,,191417,3472979
2022-04-13,39750,,,,50000,33333,33333,12500,22500,,,,,191417,3664396
2022-05-13,39750,45000,87500,17813,50000,33333,33333,12500,22500,157500,135000,11875,,646104,4310500
2022-06-13,39750,,,,25000,33333,33333,,,,,,,131417,4441917
2022-07-13,39750,,,,25000,33333,33333,,,,,,,131417,4573333
2022-08-13,39750,45000,87500,17813,25000,33333,33333,,,,,11875,,293604,4866938
2022-09-13,39750,,,,25000,33333,33333,,,,,,,131417,4998354
2022-10-13,39750,,,,25000,33333,33333,,,,,,,131417,5129771
2022-11-13,39750,45000,87500,17813,25000,33333,33333,,,,,11875,,293604,5423375
2022-12-13,39750,,,,25000,,,,,,,,,64750,5488125
2023-01-13,39750,,,,25000,,,,,,,,,64750,5552875
2023-02-13,39750,45000,87500,17813,25000,,,,,,,11875,,226938,5779813
2023-03-13,39750,,,,25000,,,,,,,,,64750,5844563
2023-04-13,39750,,,,25000,,,,,,,,,64750,5909313
2023-05-13,39750,45000,87500,17813,25000,,,,,,,11875,,226938,6136250
2023-06-13,39750,,,,,,,,,,,,,39750,6176000
2023-07-13,39750,,,,,,,,,,,,,39750,6215750
2023-08-13,39750,,87500,,,,,,,,,,,127250,6343000
2023-09-13,39750,,,,,,,,,,,,,39750,6382750
