date,community_access_sale,ecosystem_growth,protocol_development,private_sales,premine_unlocks
2024-01-17,178995969.90,1250608690.80,0.00,0.00,1429604660.70
2024-02-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-03-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-04-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-05-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-06-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-07-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-08-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-09-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-10-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-11-17,1657370.09,0.00,0.00,0.00,1657370.09
2024-12-17,1657370.09,0.00,0.00,0.00,1657370.09
2025-01-17,1657370.09,792052170.84,825000000.00,322561511.00,1941271051.93
2025-02-17,0.00,0.00,0.00,0.00,0.00
2025-03-17,0.00,0.00,0.00,0.00,0.00
2025-04-17,0.00,0.00,0.00,0.00,0.00
2025-05-17,0.00,0.00,0.00,0.00,0.00
2025-06-17,0.00,0.00,0.00,0.00,0.00
2025-07-17,0.00,0.00,0.00,0.00,0.00
2025-08-17,0.00,0.00,0.00,0.00,0.00
2025-09-17,0.00,0.00,0.00,0.00,0.00
2025-10-17,0.00,0.00,0.00,0.00,0.00
2025-11-17,0.00,0.00,0.00,0.00,0.00
2025-12-17,0.00,0.00,0.00,0.00,0.00
2026-01-17,0.00,792052170.84,0.00,322561511.00,1114613681.84
2026-02-17,0.00,0.00,0.00,0.00,0.00
2026-03-17,0.00,0.00,0.00,0.00,0.00
2026-04-17,0.00,0.00,0.00,0.00,0.00
2026-05-17,0.00,0.00,0.00,0.00,0.00
2026-06-17,0.00,0.00,0.00,0.00,0.00
2026-07-17,0.00,0.00,0.00,0.00,0.00
2026-08-17,0.00,0.00,0.00,0.00,0.00
2026-09-17,0.00,0.00,0.00,0.00,0.00
2026-10-17,0.00,0.00,0.00,0.00,0.00
2026-11-17,0.00,0.00,0.00,0.00,0.00
2026-12-17,0.00,0.00,0.00,0.00,0.00
2027-01-17,0.00,792052170.84,0.00,322561511.00,1114613681.84
2027-02-17,0.00,0.00,0.00,0.00,0.00
2027-03-17,0.00,0.00,0.00,0.00,0.00
2027-04-17,0.00,0.00,0.00,0.00,0.00
2027-05-17,0.00,0.00,0.00,0.00,0.00
2027-06-17,0.00,0.00,0.00,0.00,0.00
2027-07-17,0.00,0.00,0.00,0.00,0.00
2027-08-17,0.00,0.00,0.00,0.00,0.00
2027-09-17,0.00,0.00,0.00,0.00,0.00
2027-10-17,0.00,0.00,0.00,0.00,0.00
2027-11-17,0.00,0.00,0.00,0.00,0.00
2027-12-17,0.00,0.00,0.00,0.00,0.00
2028-01-17,0.00,792052170.84,0.00,322561511.00,1114613681.84
2028-02-17,0.00,0.00,0.00,0.00,0.00
2028-03-17,0.00,0.00,0.00,0.00,0.00
2028-04-17,0.00,0.00,0.00,0.00,0.00
2028-05-17,0.00,0.00,0.00,0.00,0.00
2028-06-17,0.00,0.00,0.00,0.00,0.00
2028-07-17,0.00,0.00,0.00,0.00,0.00
2028-08-17,0.00,0.00,0.00,0.00,0.00
2028-09-17,0.00,0.00,0.00,0.00,0.00
2028-10-17,0.00,0.00,0.00,0.00,0.00
2028-11-17,0.00,0.00,0.00,0.00,0.00
2028-12-17,0.00,0.00,0.00,0.00,0.00
2029-01-17,0.00,792052170.84,0.00,0.00,792052170.84
