date,total,liquidity_provider,average_traders,heavy_traders,advisors,community_governance,team_private_sale,contributor_grant
6/30/2025,0.00,,,,,,,
6/29/2025,0.00,,,,,,,
6/28/2025,0.00,,,,,,,
6/27/2025,0.00,,,,,,,
6/26/2025,0.00,,,,,,,
6/25/2025,0.00,,,,,,,
6/24/2025,0.00,,,,,,,
6/23/2025,0.00,,,,,,,
6/22/2025,0.00,,,,,,,
6/21/2025,0.00,,,,,,,
6/20/2025,0.00,,,,,,,
6/19/2025,0.00,,,,,,,
6/18/2025,0.00,,,,,,,
6/17/2025,0.00,,,,,,,
6/16/2025,0.00,,,,,,,
6/15/2025,0.00,,,,,,,
6/14/2025,0.00,,,,,,,
6/13/2025,0.00,,,,,,,
6/12/2025,0.00,,,,,,,
6/11/2025,0.00,,,,,,,
6/10/2025,0.00,,,,,,,
6/9/2025,0.00,,,,,,,
6/8/2025,0.00,,,,,,,
6/7/2025,0.00,,,,,,,
6/6/2025,0.00,,,,,,,
6/5/2025,0.00,,,,,,,
6/4/2025,0.00,,,,,,,
6/3/2025,0.00,,,,,,,
6/2/2025,0.00,,,,,,,
6/1/2025,0.00,,,,,,,
5/31/2025,0.00,,,,,,,
5/30/2025,0.00,,,,,,,
5/29/2025,0.00,,,,,,,
5/28/2025,0.00,,,,,,,
5/27/2025,0.00,,,,,,,
5/26/2025,0.00,,,,,,,
5/25/2025,0.00,,,,,,,
5/24/2025,0.00,,,,,,,
5/23/2025,0.00,,,,,,,
5/22/2025,0.00,,,,,,,
5/21/2025,0.00,,,,,,,
5/20/2025,0.00,,,,,,,
5/19/2025,0.00,,,,,,,
5/18/2025,0.00,,,,,,,
5/17/2025,0.00,,,,,,,
5/16/2025,0.00,,,,,,,
5/15/2025,0.00,,,,,,,
5/14/2025,0.00,,,,,,,
5/13/2025,0.00,,,,,,,
5/12/2025,0.00,,,,,,,
5/11/2025,0.00,,,,,,,
5/10/2025,0.00,,,,,,,
5/9/2025,0.00,,,,,,,
5/8/2025,0.00,,,,,,,
5/7/2025,0.00,,,,,,,
5/6/2025,0.00,,,,,,,
5/5/2025,0.00,,,,,,,
5/4/2025,0.00,,,,,,,
5/3/2025,0.00,,,,,,,
5/2/2025,0.00,,,,,,,
5/1/2025,0.00,,,,,,,
4/30/2025,0.00,,,,,,,
4/29/2025,0.00,,,,,,,
4/28/2025,0.00,,,,,,,
4/27/2025,0.00,,,,,,,
4/26/2025,0.00,,,,,,,
