date,team_supply,investors_supply,protocol_launch_supply,bonding_curve_supply,initial_emissions_program_supply,bonding_curve_dexs,community_supply,gross_emissions_native,premine_unlocks_native,net_change_supply_native,burns_native,circulating_supply_native
2022-03-18,0,0,0,"159,500,000","19,251.82","15,500,000","303,900,000",0,"478,919,251.82","478,919,251.82",0,"478,919,251.82"
2022-03-19,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"478,938,503.65"
2022-03-20,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"478,957,755.47"
2022-03-21,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"478,977,007.30"
2022-03-22,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"478,996,259.12"
2022-03-23,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,015,510.95"
2022-03-24,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,034,762.77"
2022-03-25,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,054,014.60"
2022-03-26,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,073,266.42"
2022-03-27,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,092,518.25"
2022-03-28,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,111,770.07"
2022-03-29,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,131,021.90"
2022-03-30,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,150,273.72"
2022-03-31,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,169,525.55"
2022-04-01,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,188,777.37"
2022-04-02,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,208,029.20"
2022-04-03,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,227,281.02"
2022-04-04,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,246,532.85"
2022-04-05,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,265,784.67"
2022-04-06,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,285,036.50"
2022-04-07,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,304,288.32"
2022-04-08,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,323,540.15"
2022-04-09,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,342,791.97"
2022-04-10,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,362,043.80"
2022-04-11,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,381,295.62"
2022-04-12,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,400,547.45"
2022-04-13,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,419,799.27"
2022-04-14,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,439,051.09"
2022-04-15,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,458,302.92"
2022-04-16,0,0,0,0,"19,251.82",0,0,0,"19,251.82","19,251.82",0,"479,477,554.74"
