DATE,EMISSIONS,INITIAL_INCENTIVES,ECOSYSTEM_COMMUNITY,FOUNDATION,CORE_CONTRIBUTORS,EARLY_BACKERS,TOTAL_UNLOCKED
2025-01-19,0,100000000,100000000.000000,50000000.000000,0.000000,0.000000,250000000.000000
2025-01-20,0,100000000,100197222.222222,50136986.301370,0.000000,0.000000,250334208.523592
2025-01-21,0,100000000,100394444.444444,50273972.602740,0.000000,0.000000,250668417.047184
2025-01-22,0,100000000,100591666.666666,50410958.904110,0.000000,0.000000,251002625.570776
2025-01-23,0,100000000,100788888.888888,50547945.205480,0.000000,0.000000,251336834.094368
2025-01-24,0,100000000,100986111.111110,50684931.506850,0.000000,0.000000,251671042.617960
2025-01-25,0,100000000,101183333.333332,50821917.808220,0.000000,0.000000,252005251.141552
2025-01-26,0,100000000,101380555.555554,50958904.109590,0.000000,0.000000,252339459.665144
2025-01-27,0,100000000,101577777.777776,51095890.410960,0.000000,0.000000,252673668.188736
2025-01-28,0,100000000,101774999.999998,51232876.712330,0.000000,0.000000,253007876.712328
2025-01-29,0,100000000,101972222.222220,51369863.013700,0.000000,0.000000,253342085.235920
2025-01-30,0,100000000,102169444.444442,51506849.315070,0.000000,0.000000,253676293.759512
2025-01-31,0,100000000,102366666.666664,51643835.616440,0.000000,0.000000,254010502.283104
2025-02-01,0,100000000,102563888.888886,51780821.917810,0.000000,0.000000,254344710.806696
2025-02-02,0,100000000,102761111.111108,51917808.219180,0.000000,0.000000,254678919.330288
2025-02-03,0,100000000,102958333.333330,52054794.520550,0.000000,0.000000,255013127.853880
2025-02-04,0,100000000,103155555.555552,52191780.821920,0.000000,0.000000,255347336.377472
2025-02-05,0,100000000,103352777.777774,52328767.123290,0.000000,0.000000,255681544.901064
2025-02-06,0,100000000,103549999.999996,52465753.424660,0.000000,0.000000,256015753.424656
2025-02-07,0,100000000,103747222.222218,52602739.726030,0.000000,0.000000,256349961.948248
2025-02-08,0,100000000,103944444.444440,52739726.027400,0.000000,0.000000,256684170.471840
2025-02-09,0,100000000,104141666.666662,52876712.328770,0.000000,0.000000,257018378.995432
2025-02-10,0,100000000,104338888.888884,53013698.630140,0.000000,0.000000,257352587.519024
2025-02-11,0,100000000,104536111.111106,53150684.931510,0.000000,0.000000,257686796.042616
2025-02-12,0,100000000,104733333.333328,53287671.232880,0.000000,0.000000,258021004.566208
2025-02-13,0,100000000,104930555.555550,53424657.534250,0.000000,0.000000,258355213.089800
2025-02-14,0,100000000,105127777.777772,53561643.835620,0.000000,0.000000,258689421.613392
2025-02-15,0,100000000,105324999.999994,53698630.136990,0.000000,0.000000,259023630.136984
2025-02-16,0,100000000,105522222.222216,53835616.438360,0.000000,0.000000,259357838.660576
2025-02-17,0,100000000,105719444.444438,53972602.739730,0.000000,0.000000,259692047.184168
2025-02-18,0,100000000,105916666.666660,54109589.041100,0.000000,0.000000,260026255.707760
2025-02-19,0,100000000,106113888.888882,54246575.342470,0.000000,0.000000,260360464.231352
2025-02-20,0,100000000,106311111.111104,54383561.643840,0.000000,0.000000,260694672.754944
2025-02-21,0,100000000,106508333.333326,54520547.945210,0.000000,0.000000,261028881.278536
2025-02-22,0,100000000,106705555.555548,54657534.246580,0.000000,0.000000,261363089.802128
2025-02-23,0,100000000,106902777.777770,54794520.547950,0.000000,0.000000,261697298.325720
2025-02-24,0,100000000,107099999.999992,54931506.849320,0.000000,0.000000,262031506.849312
2025-02-25,0,100000000,107297222.222214,55068493.150690,0.000000,0.000000,262365715.372904
2025-02-26,0,100000000,107494444.444436,55205479.452060,0.000000,0.000000,262699923.896496
2025-02-27,0,100000000,107691666.666658,55342465.753430,0.000000,0.000000,263034132.420088
2025-02-28,0,100000000,107888888.888880,55479452.054800,0.000000,0.000000,263368340.943680
2025-03-01,0,100000000,108086111.111102,55616438.356170,0.000000,0.000000,263702549.467272
2025-03-02,0,100000000,108283333.333324,55753424.657540,0.000000,0.000000,264036757.990864
2025-03-03,0,100000000,108480555.555546,55890410.958910,0.000000,0.000000,264370966.514456
2025-03-04,55555,100000000,108677777.777768,56027397.260280,0.000000,0.000000,264705175.038048
2025-03-05,55555,100000000,108874999.999990,56164383.561650,0.000000,0.000000,265039383.561640
2025-03-06,55555,100000000,109072222.222212,56301369.863020,0.000000,0.000000,265373592.085232
2025-03-07,55555,100000000,109269444.444434,56438356.164390,0.000000,0.000000,265707800.608824
2025-03-08,55555,100000000,109466666.666656,56575342.465760,0.000000,0.000000,266042009.132416
2025-03-09,55555,100000000,109663888.888878,56712328.767130,0.000000,0.000000,266376217.656008
2025-03-10,55555,100000000,109861111.111100,56849315.068500,0.000000,0.000000,266710426.179600
2025-03-11,55555,100000000,110058333.333322,56986301.369870,0.000000,0.000000,267044634.703192
2025-03-12,55555,100000000,110255555.555544,57123287.671240,0.000000,0.000000,267378843.226784
2025-03-13,55555,100000000,110452777.777766,57260273.972610,0.000000,0.000000,267713051.750376
2025-03-14,55555,100000000,110649999.999988,57397260.273980,0.000000,0.000000,268047260.273968
2025-03-15,55555,100000000,110847222.222210,57534246.575350,0.000000,0.000000,268381468.797560
2025-03-16,55555,100000000,111044444.444432,57671232.876720,0.000000,0.000000,268715677.321152
2025-03-17,55555,100000000,111241666.666654,57808219.178090,0.000000,0.000000,269049885.844744
2025-03-18,55555,100000000,111438888.888876,57945205.479460,0.000000,0.000000,269384094.368336
2025-03-19,55555,100000000,111636111.111098,58082191.780830,0.000000,0.000000,269718302.891928
2025-03-20,55555,100000000,111833333.333320,58219178.082200,0.000000,0.000000,270052511.415520
2025-03-21,55555,100000000,112030555.555542,58356164.383570,0.000000,0.000000,270386719.939112
2025-03-22,55555,100000000,112227777.777764,58493150.684940,0.000000,0.000000,270720928.462704
2025-03-23,55555,100000000,112424999.999986,58630136.986310,0.000000,0.000000,271055136.986296
2025-03-24,55555,100000000,112622222.222208,58767123.287680,0.000000,0.000000,271389345.509888
2025-03-25,55555,100000000,112819444.444430,58904109.589050,0.000000,0.000000,271723554.033480
2025-03-26,55555,100000000,113016666.666652,59041095.890420,0.000000,0.000000,272057762.557072
2025-03-27,55555,100000000,113213888.888874,59178082.191790,0.000000,0.000000,272391971.080664
2025-03-28,55555,100000000,113411111.111096,59315068.493160,0.000000,0.000000,272726179.604256
2025-03-29,55555,100000000,113608333.333318,59452054.794530,0.000000,0.000000,273060388.127848
2025-03-30,55555,100000000,113805555.555540,59589041.095900,0.000000,0.000000,273394596.651440
2025-03-31,55555,100000000,114002777.777762,59726027.397270,0.000000,0.000000,273728805.175032
2025-04-01,55555,100000000,114199999.999984,59863013.698640,0.000000,0.000000,274063013.698624
2025-04-02,55555,100000000,114397222.222206,60000000.000010,0.000000,0.000000,274397222.222216
2025-04-03,55555,100000000,114594444.444428,60136986.301380,0.000000,0.000000,274731430.745808
2025-04-04,55555,100000000,114791666.666650,60273972.602750,0.000000,0.000000,275065639.269400
2025-04-05,55555,100000000,114988888.888872,60410958.904120,0.000000,0.000000,275399847.792992
2025-04-06,55555,100000000,115186111.111094,60547945.205490,0.000000,0.000000,275734056.316584
2025-04-07,55555,100000000,115383333.333316,60684931.506860,0.000000,0.000000,276068264.840176
2025-04-08,55555,100000000,115580555.555538,60821917.808230,0.000000,0.000000,276402473.363768
2025-04-09,55555,100000000,115777777.777760,60958904.109600,0.000000,0.000000,276736681.887360
2025-04-10,55555,100000000,115974999.999982,61095890.410970,0.000000,0.000000,277070890.410952
2025-04-11,55555,100000000,116172222.222204,61232876.712340,0.000000,0.000000,277405098.934544
2025-04-12,55555,100000000,116369444.444426,61369863.013710,0.000000,0.000000,277739307.458136
2025-04-13,55555,100000000,116566666.666648,61506849.315080,0.000000,0.000000,278073515.981728
2025-04-14,55555,100000000,116763888.888870,61643835.616450,0.000000,0.000000,278407724.505320
2025-04-15,55555,100000000,116961111.111092,61780821.917820,0.000000,0.000000,278741933.028912
2025-04-16,55555,100000000,117158333.333314,61917808.219190,0.000000,0.000000,279076141.552504
2025-04-17,55555,100000000,117355555.555536,62054794.520560,0.000000,0.000000,279410350.076096
2025-04-18,55555,100000000,117552777.777758,62191780.821930,0.000000,0.000000,279744558.599688
2025-04-19,55555,100000000,117749999.999980,62328767.123300,0.000000,0.000000,280078767.123280
2025-04-20,55555,100000000,117947222.222202,62465753.424670,0.000000,0.000000,280412975.646872
2025-04-21,55555,100000000,118144444.444424,62602739.726040,0.000000,0.000000,280747184.170464
