date,circulating_supply_native,net_supply_change_native
2023-05-01,"514,649,369.95","514,649,369.95"
2023-06-01,"582,598,087.90","67,948,717.95"
2023-07-01,"654,546,805.85","71,948,717.95"
2023-08-01,"723,162,190.46","68,615,384.62"
2023-09-01,"791,777,575.08","68,615,384.62"
2023-10-01,"860,392,959.69","68,615,384.62"
2023-11-01,"965,577,711.31","105,184,751.62"
2023-12-01,"1,033,262,462.93","67,684,751.62"
2024-01-01,"1,100,947,214.55","67,684,751.62"
2024-02-01,"1,165,931,966.17","64,984,751.62"
2024-03-01,"1,230,916,717.79","64,984,751.62"
2024-04-01,"1,295,901,469.41","64,984,751.62"
2024-05-01,"2,339,196,965.73","1,043,295,496.32"
2024-06-01,"2,426,143,880.71","86,946,914.97"
2024-07-01,"2,512,208,503.68","86,064,622.97"
2024-08-01,"2,596,086,126.66","83,877,622.98"
2024-09-01,"2,679,963,749.63","83,877,622.97"
2024-10-01,"2,763,841,372.61","83,877,622.97"
2024-11-01,"2,845,750,695.58","81,909,322.97"
2024-12-01,"2,927,660,018.56","81,909,322.97"
2025-01-01,"3,009,569,341.53","81,909,322.98"
2025-02-01,"3,089,707,194.51","80,137,852.97"
2025-03-01,"3,169,845,047.48","80,137,852.97"
2025-04-01,"3,249,982,900.46","80,137,852.97"
2025-05-01,"3,338,327,017.91","88,344,117.45"
2025-06-01,"3,396,671,135.36","58,344,117.45"
2025-07-01,"3,455,015,252.82","58,344,117.45"
2025-08-01,"3,511,924,479.57","56,909,226.75"
2025-09-01,"3,568,833,706.32","56,909,226.75"
2025-10-01,"3,625,742,933.08","56,909,226.75"
2025-11-01,"3,681,325,480.20","55,582,547.12"
2025-12-01,"3,736,866,360.65","55,540,880.45"
2026-01-01,"3,792,183,074.77","55,316,714.12"
2026-02-01,"3,846,172,527.43","53,989,452.66"
2026-03-01,"3,899,984,688.42","53,812,160.99"
2026-04-01,"3,953,388,932.07","53,404,243.66"
2026-05-01,"4,005,418,369.57","52,029,437.50"
2026-06-01,"4,029,196,852.45","23,778,482.89"
2026-07-01,"4,052,334,085.34","23,137,232.89"
2026-08-01,"4,074,529,886.44","22,195,801.10"
2026-09-01,"4,096,537,146.54","22,007,260.10"
2026-10-01,"4,118,270,447.64","21,733,301.10"
2026-11-01,"4,139,043,544.13","20,773,096.49"
2026-12-01,"4,159,640,598.62","20,597,054.49"
2027-01-01,"4,180,107,445.11","20,466,846.49"
2027-02-01,"4,199,598,189.85","19,490,744.74"
2027-03-01,"4,218,956,351.59","19,358,161.74"
2027-04-01,"4,238,254,304.33","19,297,952.74"
2027-05-01,"4,255,680,822.30","17,426,517.97"
2027-06-01,"4,273,007,131.27","17,326,308.97"
2027-07-01,"4,290,253,232.24","17,246,100.97"
2027-08-01,"4,306,881,659.81","16,628,427.57"
2027-09-01,"4,323,510,087.38","16,628,427.57"
2027-10-01,"4,340,138,514.95","16,628,427.57"
2027-11-01,"4,356,211,036.47","16,072,521.51"
2027-12-01,"4,372,283,557.98","16,072,521.51"
2028-01-01,"4,388,356,079.50","16,072,521.51"
2028-02-01,"4,403,928,285.56","15,572,206.06"
2028-03-01,"4,419,500,491.63","15,572,206.06"
2028-04-01,"4,435,072,697.69","15,572,206.06"
2028-05-01,"4,450,194,619.85","15,121,922.16"
2028-06-01,"4,465,316,542.01","15,121,922.16"
2028-07-01,"4,480,438,464.16","15,121,922.16"
2028-08-01,"4,495,155,130.81","14,716,666.64"
2028-09-01,"4,509,871,797.45","14,716,666.64"
2028-10-01,"4,524,588,464.09","14,716,666.64"
2028-11-01,"4,538,940,400.77","14,351,936.68"
2028-12-01,"4,553,292,337.45","14,351,936.68"
2029-01-01,"4,567,644,274.13","14,351,936.68"
2029-02-01,"4,581,667,953.84","14,023,679.71"
2029-03-01,"4,595,691,633.55","14,023,679.71"
2029-04-01,"4,609,715,313.26","14,023,679.71"
2029-05-01,"4,623,443,561.70","13,728,248.44"
2029-06-01,"4,637,171,810.14","13,728,248.44"
2029-07-01,"4,650,900,058.59","13,728,248.44"
2029-08-01,"4,664,362,418.88","13,462,360.30"
2029-09-01,"4,677,824,779.18","13,462,360.30"
2029-10-01,"4,691,287,139.48","13,462,360.30"
2029-11-01,"4,704,510,200.45","13,223,060.97"
2029-12-01,"4,717,733,261.41","13,223,060.97"
2030-01-01,"4,730,956,322.38","13,223,060.97"
2030-02-01,"4,743,964,013.95","13,007,691.57"
2030-03-01,"4,756,971,705.53","13,007,691.57"
2030-04-01,"4,769,979,397.10","13,007,691.57"
2030-05-01,"4,782,793,256.21","12,813,859.12"
