date,max_supply,total_supply,the_open_network_foundation,frozen,issued_supply,backers,the_locker,dns_locked,telegram,inactive_early_wallet,mining_smart_contracts,circulating_supply_first_principles,circulating_supply_api
2019-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-16,5000039196,5000039196,0,0,60039718.5,0,0,0,0,0,4939999477,60039718.5,60039718.5
2019-11-17,5000120163,5000120163,0,0,60218651.31,0,0,0,0,0,4939901511,60218651.31,60218651.31
2019-11-18,5000201587,5000201587,0,0,60298132.41,0,0,0,0,0,4939903454,60298132.41,60298132.41
2019-11-19,5000283023,5000283023,0,0,60378028.16,0,0,0,0,0,4939904994,60378028.16,60378028.16
2019-11-20,5000362561,5000362561,0,0,61457406.01,0,0,0,0,0,4938905155,61457406.01,61457406.01
2019-11-21,5000439001,5000439001,0,0,61533786.11,0,0,0,0,0,4938905214,61533786.11,61533786.11
2019-11-22,5000515868,5000515868,0,0,61635653.86,0,0,0,0,0,4938880214,61635653.86,61635653.86
2019-11-23,5000593909,5000593909,0,0,61713694.46,0,0,0,0,0,4938880214,61713694.46,61713694.46
2019-11-24,5000671608,5000671608,0,0,61791393.11,0,0,0,0,0,4938880214,61791393.11,61791393.11
2019-11-25,5000749304,5000749304,0,0,61869089.86,0,0,0,0,0,4938880214,61869089.86,61869089.86
2019-11-26,5000827872,5000827872,0,0,61952779.91,0,0,0,0,0,4938875092,61952779.91,61952779.91
2019-11-27,5000905336,5000905336,0,0,62030243.56,0,0,0,0,0,4938875092,62030243.56,62030243.56
2019-11-28,5000982055,5000982055,0,0,62107023.76,0,0,0,0,0,4938875031,62107023.76,62107023.76
2019-11-29,5001059117,5001059117,0,0,62184085.61,0,0,0,0,0,4938875031,62184085.61,62184085.61
2019-11-30,5001135546,5001135546,0,0,62260514.81,0,0,0,0,0,4938875031,62260514.81,62260514.81
2019-12-01,5001213262,5001213262,0,0,62338230.11,0,0,0,0,0,4938875031,62338230.11,62338230.11
2019-12-02,5001288590,5001288590,0,0,62413558.81,0,0,0,0,0,4938875031,62413558.81,62413558.81
2019-12-03,5001363601,5001363601,0,0,62488567.41,0,0,0,0,0,4938875033,62488567.41,62488567.41
2019-12-04,5001440095,5001440095,0,0,62565061.56,0,0,0,0,0,4938875033,62565061.56,62565061.56
2019-12-05,5001516014,5001516014,0,0,62640981.06,0,0,0,0,0,4938875033,62640981.06,62640981.06
2019-12-06,5001594228,5001594228,0,0,62719010.66,0,0,0,0,0,4938875217,62719010.66,62719010.66
2019-12-07,5001671850,5001671850,0,0,62796632.36,0,0,0,0,0,4938875217,62796632.36,62796632.36
2019-12-08,5001748020,5001748020,0,0,62872791.96,0,0,0,0,0,4938875228,62872791.96,62872791.96
2019-12-09,5001823536,5001823536,0,0,62948300.91,0,0,0,0,0,4938875235,62948300.91,62948300.91
2019-12-10,5001899826,5001899826,0,0,63024590.51,0,0,0,0,0,4938875235,63024590.51,63024590.51
2019-12-11,5001973686,5001973686,0,0,63098443.26,0,0,0,0,0,4938875242,63098443.26,63098443.26
2019-12-12,5002047910,5002047910,0,0,63172662.81,0,0,0,0,0,4938875247,63172662.81,63172662.81
2019-12-13,5002121932,5002121932,0,0,63246685.16,0,0,0,0,0,4938875247,63246685.16,63246685.16
2019-12-14,5002194815,5002194815,0,0,63319534.76,0,0,0,0,0,4938875280,63319534.76,63319534.76
2019-12-15,5002268602,5002268602,0,0,63393321.31,0,0,0,0,0,4938875280,63393321.31,63393321.31
2019-12-16,5002341449,5002341449,0,0,63466168.41,0,0,0,0,0,4938875280,63466168.41,63466168.41
2019-12-17,5002416933,5002416933,0,0,63541625.36,0,0,0,0,0,4938875307,63541625.36,63541625.36
2019-12-18,5002491938,5002491938,0,0,63616631.06,0,0,0,0,0,4938875307,63616631.06,63616631.06
2019-12-19,5002564658,5002564658,0,0,63689332.41,0,0,0,0,0,4938875325,63689332.41,63689332.41
2019-12-20,5002640153,5002640153,0,0,63764817.31,0,0,0,0,0,4938875335,63764817.31,63764817.31
2019-12-21,5002714521,5002714521,0,0,63839185.86,0,0,0,0,0,4938875335,63839185.86,63839185.86
2019-12-22,5002787613,5002787613,0,0,63912277.41,0,0,0,0,0,4938875335,63912277.41,63912277.41
2019-12-23,5002859930,5002859930,0,0,63984595.11,0,0,0,0,0,4938875335,63984595.11,63984595.11
2019-12-24,5002931286,5002931286,0,0,64055941.35,0,0,0,0,0,4938875344,64055941.35,64055941.35
2019-12-25,5003000936,5003000936,0,0,64125581.75,0,0,0,0,0,4938875354,64125581.75,64125581.75
2019-12-26,5003071486,5003071486,0,0,64196131.95,0,0,0,0,0,4938875354,64196131.95,64196131.95
2019-12-27,5003144701,5003144701,0,0,64269328.35,0,0,0,0,0,4938875372,64269328.35,64269328.35
2019-12-28,5003213813,5003213813,0,0,64338440.35,0,0,0,0,0,4938875372,64338440.35,64338440.35
2019-12-29,5003283723,5003283723,0,0,64408336.95,0,0,0,0,0,4938875386,64408336.95,64408336.95
2019-12-30,5003351402,5003351402,0,0,64475986.15,0,0,0,0,0,4938875416,64475986.15,64475986.15
