date,gross_emissions_native,premine_unlocks_native,burns_native,net_supply_change_native,circulating_supply_native
7/3/2021,"1,296,000","1,296,000",0,"2,592,000","2,592,000"
7/4/2021,"1,296,000","1,296,000",0,"2,592,000","5,184,000"
7/5/2021,"1,296,000","1,296,000",0,"2,592,000","7,776,000"
7/6/2021,"1,296,000","1,296,000",0,"2,592,000","10,368,000"
7/7/2021,"1,296,000","1,296,000",0,"2,592,000","12,960,000"
7/8/2021,"1,296,000","1,296,000",0,"2,592,000","15,552,000"
7/9/2021,"1,296,000","1,296,000",0,"2,592,000","18,144,000"
7/10/2021,"1,296,000","1,296,000",0,"2,592,000","20,736,000"
7/11/2021,"1,296,000","1,296,000",0,"2,592,000","23,328,000"
7/12/2021,"1,296,000","1,296,000",0,"2,592,000","25,920,000"
7/13/2021,"1,296,000","1,296,000",0,"2,592,000","28,512,000"
7/14/2021,"1,296,000","1,296,000",0,"2,592,000","31,104,000"
7/15/2021,"1,296,000","1,296,000",0,"2,592,000","33,696,000"
7/16/2021,"1,296,000","1,296,000",0,"2,592,000","36,288,000"
7/17/2021,"1,296,000","1,296,000",0,"2,592,000","38,880,000"
7/18/2021,"1,296,000","1,296,000",0,"2,592,000","41,472,000"
7/19/2021,"1,296,000","1,296,000",0,"2,592,000","44,064,000"
7/20/2021,"1,296,000","1,296,000",0,"2,592,000","46,656,000"
7/21/2021,"1,296,000","1,296,000",0,"2,592,000","49,248,000"
7/22/2021,"1,296,000","1,296,000",0,"2,592,000","51,840,000"
7/23/2021,"1,296,000","1,296,000",0,"2,592,000","54,432,000"
7/24/2021,"1,296,000","1,296,000",0,"2,592,000","57,024,000"
7/25/2021,"1,296,000","1,296,000",0,"2,592,000","59,616,000"
7/26/2021,"1,296,000","1,296,000",0,"2,592,000","62,208,000"
7/27/2021,"1,296,000","1,296,000",0,"2,592,000","64,800,000"
7/28/2021,"1,296,000","1,296,000",0,"2,592,000","67,392,000"
7/29/2021,"1,296,000","1,296,000",0,"2,592,000","69,984,000"
7/30/2021,"1,296,000","1,296,000",0,"2,592,000","72,576,000"
7/31/2021,"1,296,000","1,296,000",0,"2,592,000","75,168,000"
8/1/2021,"1,296,000","1,296,000",0,"2,592,000","77,760,000"
8/2/2021,"1,296,000","1,296,000",0,"2,592,000","80,352,000"
8/3/2021,"864,000","864,000",0,"1,728,000","82,080,000"
8/4/2021,"864,000","864,000",0,"1,728,000","83,808,000"
8/5/2021,"864,000","864,000",0,"1,728,000","85,536,000"
8/6/2021,"864,000","864,000",0,"1,728,000","87,264,000"
8/7/2021,"864,000","864,000",0,"1,728,000","88,992,000"
8/8/2021,"864,000","864,000",0,"1,728,000","90,720,000"
8/9/2021,"864,000","864,000",0,"1,728,000","92,448,000"
8/10/2021,"864,000","864,000",0,"1,728,000","94,176,000"
8/11/2021,"864,000","864,000",0,"1,728,000","95,904,000"
8/12/2021,"864,000","864,000",0,"1,728,000","97,632,000"
8/13/2021,"864,000","864,000",0,"1,728,000","99,360,000"
8/14/2021,"864,000","864,000",0,"1,728,000","101,088,000"
8/15/2021,"864,000","864,000",0,"1,728,000","102,816,000"
8/16/2021,"864,000","864,000",0,"1,728,000","104,544,000"
8/17/2021,"864,000","864,000",0,"1,728,000","106,272,000"
8/18/2021,"864,000","864,000",0,"1,728,000","108,000,000"
8/19/2021,"864,000","864,000",0,"1,728,000","109,728,000"
8/20/2021,"864,000","864,000",0,"1,728,000","111,456,000"
8/21/2021,"864,000","864,000",0,"1,728,000","113,184,000"
8/22/2021,"864,000","864,000",0,"1,728,000","114,912,000"
8/23/2021,"864,000","864,000",0,"1,728,000","116,640,000"
8/24/2021,"864,000","864,000",0,"1,728,000","118,368,000"
8/25/2021,"864,000","864,000",0,"1,728,000","120,096,000"
8/26/2021,"864,000","864,000",0,"1,728,000","121,824,000"
8/27/2021,"864,000","864,000",0,"1,728,000","123,552,000"
8/28/2021,"864,000","864,000",0,"1,728,000","125,280,000"
8/29/2021,"864,000","864,000",0,"1,728,000","127,008,000"
8/30/2021,"864,000","864,000",0,"1,728,000","128,736,000"
8/31/2021,"864,000","864,000",0,"1,728,000","130,464,000"
9/1/2021,"864,000","864,000",0,"1,728,000","132,192,000"
9/2/2021,"864,000","864,000",0,"1,728,000","133,920,000"
9/3/2021,"734,400","734,400",0,"1,468,800","135,388,800"
9/4/2021,"734,400","734,400",0,"1,468,800","136,857,600"
9/5/2021,"734,400","734,400",0,"1,468,800","138,326,400"
9/6/2021,"734,400","734,400",0,"1,468,800","139,795,200"
9/7/2021,"734,400","734,400",0,"1,468,800","141,264,000"
9/8/2021,"734,400","734,400",0,"1,468,800","142,732,800"
9/9/2021,"734,400","734,400",0,"1,468,800","144,201,600"
9/10/2021,"734,400","734,400",0,"1,468,800","145,670,400"
9/11/2021,"734,400","734,400",0,"1,468,800","147,139,200"
9/12/2021,"734,400","734,400",0,"1,468,800","148,608,000"
9/13/2021,"734,400","734,400",0,"1,468,800","150,076,800"
9/14/2021,"734,400","734,400",0,"1,468,800","151,545,600"
9/15/2021,"734,400","734,400",0,"1,468,800","153,014,400"
9/16/2021,"734,400","734,400",0,"1,468,800","154,483,200"
9/17/2021,"734,400","734,400",0,"1,468,800","155,952,000"
9/18/2021,"734,400","734,400",0,"1,468,800","157,420,800"
9/19/2021,"734,400","734,400",0,"1,468,800","158,889,600"
9/20/2021,"734,400","734,400",0,"1,468,800","160,358,400"
9/21/2021,"734,400","734,400",0,"1,468,800","161,827,200"
9/22/2021,"734,400","734,400",0,"1,468,800","163,296,000"
9/23/2021,"734,400","734,400",0,"1,468,800","164,764,800"
9/24/2021,"734,400","734,400",0,"1,468,800","166,233,600"
9/25/2021,"734,400","734,400",0,"1,468,800","167,702,400"
9/26/2021,"734,400","734,400",0,"1,468,800","169,171,200"
9/27/2021,"734,400","734,400",0,"1,468,800","170,640,000"
9/28/2021,"734,400","734,400",0,"1,468,800","172,108,800"
9/29/2021,"734,400","734,400",0,"1,468,800","173,577,600"
9/30/2021,"734,400","734,400",0,"1,468,800","175,046,400"
10/1/2021,"734,400","734,400",0,"1,468,800","176,515,200"
10/2/2021,"734,400","734,400",0,"1,468,800","177,984,000"
10/3/2021,"583,200","583,200",0,"1,166,400","179,150,400"
10/4/2021,"583,200","583,200",0,"1,166,400","180,316,800"
10/5/2021,"583,200","583,200",0,"1,166,400","181,483,200"
10/6/2021,"583,200","583,200",0,"1,166,400","182,649,600"
10/7/2021,"583,200","583,200",0,"1,166,400","183,816,000"
10/8/2021,"583,200","583,200",0,"1,166,400","184,982,400"
10/9/2021,"583,200","583,200",0,"1,166,400","186,148,800"
10/10/2021,"583,200","583,200",0,"1,166,400","187,315,200"
10/11/2021,"583,200","583,200",0,"1,166,400","188,481,600"
10/12/2021,"583,200","583,200",0,"1,166,400","189,648,000"
10/13/2021,"583,200","583,200",0,"1,166,400","190,814,400"
10/14/2021,"583,200","583,200",0,"1,166,400","191,980,800"
10/15/2021,"583,200","583,200",0,"1,166,400","193,147,200"
10/16/2021,"583,200","583,200",0,"1,166,400","194,313,600"
10/17/2021,"583,200","583,200",0,"1,166,400","195,480,000"
10/18/2021,"583,200","583,200",0,"1,166,400","196,646,400"
10/19/2021,"583,200","583,200",0,"1,166,400","197,812,800"
10/20/2021,"583,200","583,200",0,"1,166,400","198,979,200"
10/21/2021,"583,200","583,200",0,"1,166,400","200,145,600"
10/22/2021,"583,200","583,200",0,"1,166,400","201,312,000"
10/23/2021,"583,200","583,200",0,"1,166,400","202,478,400"
10/24/2021,"583,200","583,200",0,"1,166,400","203,644,800"
10/25/2021,"583,200","583,200",0,"1,166,400","204,811,200"
10/26/2021,"583,200","583,200",0,"1,166,400","205,977,600"
10/27/2021,"583,200","583,200",0,"1,166,400","207,144,000"
10/28/2021,"583,200","583,200",0,"1,166,400","208,310,400"
10/29/2021,"583,200","583,200",0,"1,166,400","209,476,800"
10/30/2021,"583,200","583,200",0,"1,166,400","210,643,200"
10/31/2021,"583,200","583,200",0,"1,166,400","211,809,600"
11/1/2021,"583,200","583,200",0,"1,166,400","212,976,000"
11/2/2021,"583,200","583,200",0,"1,166,400","214,142,400"
11/3/2021,"432,000","432,000",0,"864,000","215,006,400"
11/4/2021,"432,000","432,000",0,"864,000","215,870,400"
11/5/2021,"432,000","432,000",0,"864,000","216,734,400"
11/6/2021,"432,000","432,000",0,"864,000","217,598,400"
11/7/2021,"432,000","432,000",0,"864,000","218,462,400"
11/8/2021,"432,000","432,000",0,"864,000","219,326,400"
11/9/2021,"432,000","432,000",0,"864,000","220,190,400"
11/10/2021,"432,000","432,000",0,"864,000","221,054,400"
11/11/2021,"432,000","432,000",0,"864,000","221,918,400"
11/12/2021,"432,000","432,000",0,"864,000","222,782,400"
11/13/2021,"432,000","432,000",0,"864,000","223,646,400"
11/14/2021,"432,000","432,000",0,"864,000","224,510,400"
11/15/2021,"432,000","432,000",0,"864,000","225,374,400"
11/16/2021,"432,000","432,000",0,"864,000","226,238,400"
11/17/2021,"432,000","432,000",0,"864,000","227,102,400"
11/18/2021,"432,000","432,000",0,"864,000","227,966,400"
11/19/2021,"432,000","432,000",0,"864,000","228,830,400"
11/20/2021,"432,000","432,000",0,"864,000","229,694,400"
11/21/2021,"432,000","432,000",0,"864,000","230,558,400"
11/22/2021,"432,000","432,000",0,"864,000","231,422,400"
11/23/2021,"432,000","432,000",0,"864,000","232,286,400"
11/24/2021,"432,000","432,000",0,"864,000","233,150,400"
11/25/2021,"432,000","432,000",0,"864,000","234,014,400"
11/26/2021,"432,000","432,000",0,"864,000","234,878,400"
11/27/2021,"432,000","432,000",0,"864,000","235,742,400"
11/28/2021,"432,000","432,000",0,"864,000","236,606,400"
11/29/2021,"432,000","432,000",0,"864,000","237,470,400"
11/30/2021,"432,000","432,000",0,"864,000","238,334,400"
12/1/2021,"432,000","432,000",0,"864,000","239,198,400"
12/2/2021,"432,000","432,000",0,"864,000","240,062,400"
12/3/2021,"410,400","410,400",0,"820,800","240,883,200"
12/4/2021,"410,400","410,400",0,"820,800","241,704,000"
12/5/2021,"410,400","410,400",0,"820,800","242,524,800"
12/6/2021,"410,400","410,400",0,"820,800","243,345,600"
12/7/2021,"410,400","410,400",0,"820,800","244,166,400"
12/8/2021,"410,400","410,400",0,"820,800","244,987,200"
12/9/2021,"410,400","410,400",0,"820,800","245,808,000"
12/10/2021,"410,400","410,400",0,"820,800","246,628,800"
12/11/2021,"410,400","410,400",0,"820,800","247,449,600"
12/12/2021,"410,400","410,400",0,"820,800","248,270,400"
12/13/2021,"410,400","410,400",0,"820,800","249,091,200"
12/14/2021,"410,400","410,400",0,"820,800","249,912,000"
12/15/2021,"410,400","410,400",0,"820,800","250,732,800"
12/16/2021,"410,400","410,400",0,"820,800","251,553,600"
12/17/2021,"410,400","410,400",0,"820,800","252,374,400"
12/18/2021,"410,400","410,400",0,"820,800","253,195,200"
