Date,Incentives
4-15-2025,"473,000"
4-16-2025,
4-17-2025,
4-18-2025,
4-19-2025,
4-20-2025,
4-21-2025,
4-22-2025,"473,000"
4-23-2025,
4-24-2025,
4-25-2025,
4-26-2025,
4-27-2025,
4-28-2025,
4-29-2025,"473,000"
4-30-2025,
5-1-2025,
5-2-2025,
5-3-2025,
5-4-2025,
5-5-2025,"473,000"
5-6-2025,
5-7-2025,
5-8-2025,
5-9-2025,
5-10-2025,
5-11-2025,"473,000"
5-12-2025,
5-13-2025,
5-14-2025,
5-15-2025,
5-16-2025,
5-17-2025,"473,000"
5-18-2025,
5-19-2025,
5-20-2025,
5-21-2025,
5-22-2025,
5-23-2025,"473,000"
5-24-2025,
5-25-2025,
5-26-2025,
5-27-2025,
5-28-2025,
5-29-2025,"473,000"
5-30-2025,
5-31-2025,
6-1-2025,
6-2-2025,
6-3-2025,
6-4-2025,"473,000"
6-5-2025,
6-6-2025,
6-7-2025,
6-8-2025,
6-9-2025,
6-10-2025,"473,000"
6-11-2025,
6-12-2025,
6-13-2025,
6-14-2025,
6-15-2025,
6-16-2025,"473,000"
6-17-2025,
6-18-2025,
6-19-2025,
6-20-2025,
6-21-2025,
6-22-2025,"473,000"
6-23-2025,
6-24-2025,
6-25-2025,
6-26-2025,
6-27-2025,
6-28-2025,"473,000"
6-29-2025,
6-30-2025,
7-1-2025,
7-2-2025,
7-3-2025,
7-4-2025,"473,000"
7-5-2025,
7-6-2025,
7-7-2025,
7-8-2025,
7-9-2025,
7-10-2025,"473,000"
7-11-2025,
7-12-2025,
7-13-2025,
7-14-2025,
7-15-2025,
7-16-2025,"473,000"
