date,premine_unlocks_native,circulating_supply_native
3/31/2024,"1,806,097,654.31","1,806,097,654.31"
4/7/2024,"12,123,147.03","1,818,220,801.34"
4/14/2024,"12,123,147.03","1,830,343,948.37"
4/21/2024,"12,123,147.03","1,842,467,095.39"
4/28/2024,"12,123,147.03","1,854,590,242.42"
5/5/2024,"12,123,147.03","1,866,713,389.45"
5/12/2024,"12,123,147.03","1,878,836,536.48"
5/19/2024,"12,123,147.03","1,890,959,683.51"
5/26/2024,"12,123,147.03","1,903,082,830.53"
6/2/2024,"12,123,147.03","1,915,205,977.56"
6/9/2024,"12,123,147.03","1,927,329,124.59"
6/16/2024,"12,123,147.03","1,939,452,271.62"
6/23/2024,"12,123,147.03","1,951,575,418.65"
6/30/2024,"12,123,147.03","1,963,698,565.68"
7/7/2024,"12,123,147.03","1,975,821,712.70"
7/14/2024,"12,123,147.03","1,987,944,859.73"
7/21/2024,"12,123,147.03","2,000,068,006.76"
7/28/2024,"612,123,147.03","2,612,191,153.79"
8/4/2024,"12,123,147.03","2,624,314,300.82"
8/11/2024,"12,123,147.03","2,636,437,447.84"
8/18/2024,"12,123,147.03","2,648,560,594.87"
8/25/2024,"12,123,147.03","2,660,683,741.90"
9/1/2024,"12,123,147.03","2,672,806,888.93"
9/8/2024,"12,123,147.03","2,684,930,035.96"
9/15/2024,"12,123,147.03","2,697,053,182.99"
9/22/2024,"12,123,147.03","2,709,176,330.01"
9/29/2024,"12,123,147.03","2,721,299,477.04"
10/6/2024,"12,123,147.03","2,733,422,624.07"
10/13/2024,"12,123,147.03","2,745,545,771.10"
10/20/2024,"12,123,147.03","2,757,668,918.13"
10/27/2024,"12,123,147.03","2,769,792,065.16"
11/3/2024,"12,123,147.03","2,781,915,212.18"
11/10/2024,"12,123,147.03","2,794,038,359.21"
11/17/2024,"12,123,147.03","2,806,161,506.24"
11/24/2024,"12,123,147.03","2,818,284,653.27"
12/1/2024,"12,123,147.03","2,830,407,800.30"
12/8/2024,"12,123,147.03","2,842,530,947.32"
12/15/2024,"12,123,147.03","2,854,654,094.35"
12/22/2024,"12,123,147.03","2,866,777,241.38"
12/29/2024,"12,123,147.03","2,878,900,388.41"
1/5/2025,"12,123,147.03","2,891,023,535.44"
1/12/2025,"12,123,147.03","2,903,146,682.47"
1/19/2025,"12,123,147.03","2,915,269,829.49"
1/26/2025,"12,123,147.03","2,927,392,976.52"
2/2/2025,"12,123,147.03","2,939,516,123.55"
2/9/2025,"12,123,147.03","2,951,639,270.58"
2/16/2025,"12,123,147.03","2,963,762,417.61"
2/23/2025,"12,123,147.03","2,975,885,564.63"
3/2/2025,"12,123,147.03","2,988,008,711.66"
3/9/2025,"12,123,147.03","3,000,131,858.69"
3/16/2025,"12,123,147.03","3,012,255,005.72"
3/23/2025,"12,123,147.03","3,024,378,152.75"
3/30/2025,"1,399,761,274.88","4,424,139,427.63"
4/6/2025,"12,506,708.67","4,436,646,136.30"
4/13/2025,"12,506,708.67","4,449,152,844.97"
4/20/2025,"12,506,708.67","4,461,659,553.65"
4/27/2025,"12,506,708.67","4,474,166,262.32"
5/4/2025,"12,506,708.67","4,486,672,970.99"
5/11/2025,"12,506,708.67","4,499,179,679.66"
5/18/2025,"12,506,708.67","4,511,686,388.33"
5/25/2025,"12,506,708.67","4,524,193,097.01"
6/1/2025,"12,506,708.67","4,536,699,805.68"
6/8/2025,"12,506,708.67","4,549,206,514.35"
6/15/2025,"12,506,708.67","4,561,713,223.02"
6/22/2025,"12,506,708.67","4,574,219,931.69"
6/29/2025,"12,506,708.67","4,586,726,640.37"
7/6/2025,"12,506,708.67","4,599,233,349.04"
7/13/2025,"12,506,708.67","4,611,740,057.71"
7/20/2025,"12,506,708.67","4,624,246,766.38"
7/27/2025,"12,506,708.67","4,636,753,475.05"
8/3/2025,"12,506,708.67","4,649,260,183.73"
8/10/2025,"12,506,708.67","4,661,766,892.40"
8/17/2025,"12,506,708.67","4,674,273,601.07"
8/24/2025,"12,506,708.67","4,686,780,309.74"
8/31/2025,"12,506,708.67","4,699,287,018.41"
9/7/2025,"12,506,708.67","4,711,793,727.09"
9/14/2025,"12,506,708.67","4,724,300,435.76"
9/21/2025,"12,506,708.67","4,736,807,144.43"
9/28/2025,"12,506,708.67","4,749,313,853.10"
10/5/2025,"12,506,708.67","4,761,820,561.78"
10/12/2025,"12,506,708.67","4,774,327,270.45"
10/19/2025,"12,506,708.67","4,786,833,979.12"
10/26/2025,"12,506,708.67","4,799,340,687.79"
11/2/2025,"12,506,708.67","4,811,847,396.46"
11/9/2025,"12,506,708.67","4,824,354,105.14"
11/16/2025,"12,506,708.67","4,836,860,813.81"
11/23/2025,"12,506,708.67","4,849,367,522.48"
11/30/2025,"12,506,708.67","4,861,874,231.15"
12/7/2025,"12,506,708.67","4,874,380,939.82"
12/14/2025,"12,506,708.67","4,886,887,648.50"
12/21/2025,"12,506,708.67","4,899,394,357.17"
12/28/2025,"12,506,708.67","4,911,901,065.84"
1/4/2026,"12,506,708.67","4,924,407,774.51"
1/11/2026,"12,506,708.67","4,936,914,483.18"
1/18/2026,"12,506,708.67","4,949,421,191.86"
1/25/2026,"12,506,708.67","4,961,927,900.53"
2/1/2026,"12,506,708.67","4,974,434,609.20"
2/8/2026,"12,506,708.67","4,986,941,317.87"
2/15/2026,"12,506,708.67","4,999,448,026.54"
2/22/2026,"12,506,708.67","5,011,954,735.22"
3/1/2026,"12,506,708.67","5,024,461,443.89"
3/8/2026,"12,506,708.67","5,036,968,152.56"
3/15/2026,"12,506,708.67","5,049,474,861.23"
3/22/2026,"12,506,708.67","5,061,981,569.90"
3/29/2026,"1,295,856,708.67","6,357,838,278.58"
4/5/2026,"11,816,297.71","6,369,654,576.29"
4/12/2026,"11,816,297.71","6,381,470,874.00"
4/19/2026,"11,816,297.71","6,393,287,171.72"
4/26/2026,"11,816,297.71","6,405,103,469.43"
5/3/2026,"11,816,297.71","6,416,919,767.14"
5/10/2026,"11,816,297.71","6,428,736,064.86"
5/17/2026,"11,816,297.71","6,440,552,362.57"
5/24/2026,"11,816,297.71","6,452,368,660.28"
5/31/2026,"11,816,297.71","6,464,184,957.99"
6/7/2026,"11,816,297.71","6,476,001,255.71"
6/14/2026,"11,816,297.71","6,487,817,553.42"
