code_hash,interface
/rX/aCDi/w2Ug+fg1iyBfYRniftK5YDIeIZtlZ2r1cA=,wallet_v4r2
IINLe3KxEhR+Gy+0V7hOdNGjDwT3N9T2KmaOlVLSty8=,wallet_v5r1
thBBpYp5gLlG6PueGY48kE0keZ/6NldOpCUcQaVm9YE=,wallet_v3r1
hNr6RJ+Ypph3ibojI1gHK8D3bcRSQAKl0JGLmnXS1Zk=,wallet_v3r2
89fKU0k97trCizgZhqhJQDy6w9LFhHea8IEGWvCsS5M=,wallet_v5_beta
/pUw0yQ4Uwg+8u8LTCkIwKv2+hwx6iQ6rKpb+MfXU/E=,wallet_v2r2
ZN1UgFUixb6KnbWc6gEFzPDQh4bKeb64y3nogKjXMi0=,wallet_v4r1
MZrVLsmoWWIPil2Ww2CJ5nw29OOTAdBQ224VCXAZzpE=,wallet_v5_beta
WHzHie/xyE9G7DeX5F/ICaFP9a4k8eDHpqmcydyQYf8=,wallet_v1r3
XJpeaMEI4YchoHxC+ZVr+zmtd+xtYktgxXbsiO7mUyk=,wallet_v2r1
oM/CxIruFqJx8s/AtzgtgXVs7LEBfQd/qqs7tgL2how=,wallet_v1r1
1JAvzJ+tdGmPqONTIgpo2g3PcuMryy657gQhfBfTBiw=,wallet_v1r2
EayteVWEQJDyg78ji8FEmHH3g+fMCXlAjT9IWUg+hSU=,wallet_highload_v3r1
ID3U81ittJmTEpqpJcrDmRa2ig5PeNJujywraer6Vnk=,wallet_highload_v2r2
lJTRzI7fEvBWcaGpugmSEJbrUIEeGSTsZcPGKfu4CBI=,wallet_highload_v2
