chain,contract_address,symbol,unwrapped_symbol
arbitrum,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,WBTC,BTC
arbitrum,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,ETH
avalanche,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,WETH,ETH
avalanche,0xB44a9B6905aF7c801311e8F4E76932ee959c663C,WBTC,BTC
base,0x4200000000000000000000000000000000000006,WETH,ETH
base,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,cbBTC,BTC
base,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,WBTC,BTC
blast,0x4300000000000000000000000000000000000004,WETH,ETH
blast,0xF7bc58b8D8f97ADC129cfC4c9f45Ce3C0E1D2692,WBTC,BTC
bsc,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,WBTC,BTC
bsc,0x4DB5a66E937A9F4473fA95b1cAF1d1E1D62E29EA,WETH,ETH
ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,BTC
ethereum,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,cbBTC,BTC
ethereum,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,ETH
optimism,0x68f180fcce6836688e9084f035309e29bf0a2095,WBTC,BTC
optimism,0x4200000000000000000000000000000000000006,WETH,ETH
polygon,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,ETH
polygon,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,BTC
